,cid,did
2246,4162,433
2247,12068,434
2248,2337,435
2249,5458,436
2250,18363,437
2251,557,438
2252,26653,439
2253,17215,440
2254,18014,441
93,2598,442
94,12234,442
95,15330,442
96,15542,442
2255,25091,442
2256,56,447
2257,27333,448
2258,2307,449
2259,22118,450
2260,12966,451
2261,20076,453
2262,2598,454
2263,22219,455
2264,469,456
2265,13858,457
97,60,458
2266,474,458
98,288,460
99,12375,460
2267,621,460
100,12968,463
2268,4727,463
2269,8033,465
2270,12734,466
2271,69,467
2272,2096,468
101,378,469
2273,20581,469
2274,16355,471
2275,396,472
2276,25513,473
2277,3392,474
2278,12330,475
2279,5452,476
102,27660,477
2280,3187,477
2281,22040,479
2282,5807,480
2283,475,481
2284,119,482
2285,18154,483
2286,5586,484
2287,23921,485
2288,3782,486
103,2290,487
2289,23,487
2290,2336,489
2291,12295,490
2292,249,491
2293,27387,492
2294,3487,493
2295,23427,494
2296,12193,495
2297,1022,496
2298,13229,497
2299,24980,498
2300,4702,499
2301,25350,500
2302,3924,501
2303,5611,502
2304,26453,503
2305,23401,504
104,12058,505
105,17532,505
2306,1083,505
106,22040,508
2307,3673,508
2308,6068,510
2309,445,511
2310,2957,512
107,2295,513
108,5496,513
109,5656,513
110,21214,513
2311,107,513
2312,25777,518
111,5586,519
112,5400,519
113,8021,519
114,28018,519
2313,21960,519
2314,28245,524
2315,20650,525
2316,34,526
115,1186,527
2317,5200,527
2318,702,529
2319,2966,530
2320,12076,531
2321,22137,532
2322,25130,533
2323,519,534
2324,1279,535
2325,2306,536
116,20655,537
117,12359,537
2326,15992,537
2327,28441,540
2328,4727,541
2329,14482,542
2330,337,543
118,322,544
2331,69,544
119,3225,546
2332,4926,546
2333,12581,548
2334,1742,549
2335,3392,550
120,412,551
2336,2780,551
2337,16166,553
2338,72,554
2339,27375,555
121,2598,556
122,22118,556
2340,3041,556
2341,2100,559
2342,732,560
123,28141,561
124,24955,561
2343,266,561
2344,22118,564
2345,26453,565
2346,480,567
2347,6423,568
2348,12374,569
2349,24619,570
2350,2153,571
2351,29545,572
2352,27662,573
125,15473,574
2353,24978,574
2354,288,576
2355,392,577
2356,14027,578
2357,3187,579
2358,165,580
2359,1866,581
2360,7902,582
126,329,584
2361,420,584
2362,24988,586
2363,2820,587
2364,12288,588
2365,12055,589
2366,2298,590
2367,942,591
2368,3243,592
2369,27581,593
2370,22221,594
2371,24985,595
127,13151,596
2372,12121,596
2373,1167,598
2374,751,599
2375,28245,600
2376,25654,601
128,237,602
129,3392,602
2377,557,602
2378,21331,605
2379,328,606
130,27581,607
2380,77,607
131,237,609
132,247,609
2381,3392,609
2382,20289,612
2383,1106,613
2384,18286,614
133,395,615
134,17215,615
135,365,615
2385,22071,615
136,20287,619
2386,13360,619
2387,22219,621
2388,68,622
2389,2333,623
137,12585,624
2390,244,624
2391,577,626
2392,12295,627
2393,148,628
2394,23308,629
2395,20289,630
2396,29776,631
2397,565,632
2398,27257,633
2399,3617,635
2400,24882,636
2401,51,637
2402,3722,638
2403,337,639
2404,18286,640
2405,1131,641
2406,104,642
2407,12375,643
2408,497,644
2409,17130,645
2410,59,646
2411,566,647
2412,12002,648
2413,4727,649
138,12109,650
139,1047,650
140,3173,650
141,3924,650
2414,21331,650
2415,4244,655
2416,1252,656
2417,189,657
2418,1127,658
2419,23706,659
142,2292,660
2420,301,660
2421,25169,662
2422,328,663
143,28018,664
2423,64,664
2424,3537,666
2425,27791,667
2426,245,668
2427,3187,669
144,88,670
145,27206,670
2428,3306,670
146,1866,673
2429,27791,673
2430,25397,675
2431,13332,676
2432,2336,677
147,3272,678
148,29582,678
2433,4679,678
149,2467,681
150,986,681
151,31,681
2434,3750,681
2435,16706,685
152,27753,686
2436,2831,686
2437,18154,689
2438,602,690
2439,3029,691
2440,27387,692
2441,4177,693
2442,17215,694
153,2820,695
2443,2298,695
154,27458,697
2444,18014,697
2445,1781,699
2446,2299,700
2447,12607,701
155,288,702
2448,12874,704
156,2705,705
157,20392,705
2449,124,705
2450,5991,708
2451,28695,710
158,14773,711
2452,28141,711
2453,941,713
2454,24268,714
159,12399,715
2455,252,715
2456,7388,717
2457,25091,719
2458,150,720
2459,282,721
2460,3546,722
160,2305,723
161,2298,723
162,2292,723
2461,20076,723
2462,22735,727
2463,135,728
2464,554,729
2465,27698,730
2466,2100,731
2467,29936,732
2468,19432,733
2469,29776,734
2470,64,735
2471,25578,736
163,2300,737
2472,2292,737
2473,29547,739
2474,6068,740
2475,28589,741
2476,4335,742
2477,12009,743
164,53,744
165,1019,744
2478,13332,744
2479,15473,747
2480,2293,748
166,12109,749
167,12019,749
168,3898,749
2481,2307,749
2482,12854,753
2483,21241,754
2484,13279,755
2485,14252,756
2486,1022,757
2487,27558,758
2488,459,759
2489,23633,760
2490,2957,761
2491,22197,762
2492,3226,763
2493,4962,764
2494,1057,765
169,26813,766
2495,27538,766
2496,12399,769
2497,782,770
2498,2806,771
2499,26453,772
2500,6272,774
2501,12001,775
2502,23427,776
2503,513,777
2504,5991,778
2505,13166,780
2506,2805,781
2507,23427,782
2508,184,783
2509,5302,784
2510,12394,785
2511,2304,786
2512,469,787
2513,1814,788
2514,26520,789
2515,12330,790
2516,4764,791
2517,301,792
2518,3361,793
2519,175,794
2520,1577,795
2521,4767,796
2522,13819,797
2523,1057,798
2524,1781,799
2525,28245,800
2526,12466,801
2527,13863,802
2528,12009,803
2529,657,804
2530,27443,805
2531,702,806
2532,3898,807
2533,29077,808
2534,4701,809
170,664,810
171,365,810
172,815,810
2535,17215,810
2536,2338,814
2537,1250,815
2538,16706,816
2539,12874,817
2540,737,818
2541,1026,819
2542,2298,820
2543,12418,821
2544,2650,822
2545,2291,823
2546,306,824
2547,53,825
2548,24038,826
2549,3898,827
2550,5342,828
2551,12178,829
2552,12399,830
2553,539,831
2554,27333,832
2555,4506,833
2556,17560,834
2557,4679,835
2558,28591,836
2559,5452,837
2560,2626,838
2561,24587,839
2562,29545,840
2563,20946,841
2564,150,842
2565,2966,843
2566,514,844
2567,15449,845
2568,16795,846
2569,17975,847
2570,25048,848
173,609,849
2571,540,849
2572,12350,851
174,284,852
2573,2292,852
175,59,854
2574,2146,854
176,2337,856
177,5772,856
2575,513,856
2576,700,859
178,270,860
2577,14252,860
179,1745,862
180,6548,862
181,28369,862
182,12804,862
183,20631,862
184,21281,862
2578,621,862
2579,2295,869
2580,17416,870
2581,304,871
2582,7310,872
2583,20287,873
2584,5503,874
2585,12966,875
185,23039,876
186,4301,876
2586,12804,879
2587,702,880
2588,2167,881
2589,3673,882
187,16996,883
188,20287,883
2590,2304,883
2591,12196,886
2592,5991,887
189,5077,888
2593,3896,890
2594,1127,891
2595,27313,892
190,12029,893
191,27581,893
192,932,893
2596,13360,893
2597,24474,897
2598,12045,898
2599,2299,899
2600,17532,900
2601,12076,901
2602,391,902
2603,72,903
2604,322,904
2605,14852,905
2606,14057,907
2607,29579,908
2608,6068,909
2609,18014,910
2610,469,911
193,28472,912
194,14548,912
195,53,912
2611,732,912
2612,5324,916
2613,23040,917
196,2227,918
2614,21331,918
2615,245,920
197,12328,921
2616,2292,921
2617,1022,923
2618,539,924
198,28141,925
199,1106,925
2619,12323,925
2620,12001,928
2621,16277,929
2629,23638,930
2622,12416,931
2623,445,932
2624,307,933
2625,107,934
200,15631,935
201,2356,935
2626,1255,935
2627,702,938
2628,14235,939
2630,2208,940
2631,17416,941
2632,28245,942
2633,23633,943
2634,516,944
202,12059,945
2635,12607,945
2636,13036,947
2637,12854,948
2638,1850,949
2639,159,950
203,16577,951
204,3226,951
2640,1220,951
2641,4926,954
2642,24610,955
2643,55,956
2644,2603,957
2645,24846,958
2646,3898,959
2647,1024,960
2648,304,961
2649,24429,962
2650,5342,963
205,24978,964
2651,3750,964
206,328,966
2652,266,966
2653,23920,968
2654,12076,970
2655,24619,971
2656,2846,972
207,513,973
2657,20561,973
2658,15038,975
208,13872,976
2659,12111,976
2660,24161,978
209,396,980
2661,56,980
2662,4490,982
2663,22868,983
2664,25397,984
2665,720,985
210,1957,986
2666,22387,986
2667,12606,988
2668,22219,989
2669,976,990
2670,4559,991
2671,251,992
2672,4353,993
2673,14482,994
2674,3173,995
2675,1127,996
2676,3118,997
2677,2100,998
2678,2469,999
2679,6207,1000
2680,8036,1001
2681,5991,1002
2682,1474,1004
2683,2089,1005
2684,90,1006
2685,12193,1007
2686,3118,1008
211,614,1009
2687,664,1009
2688,435,1011
2689,5004,1012
2690,391,1013
212,250,1014
2691,124,1014
213,21214,1016
214,17416,1016
215,20650,1016
2692,2295,1016
2693,2567,1020
2694,1129,1021
2695,15449,1022
2696,1850,1023
216,502,1024
2697,265,1024
217,17560,1026
218,23401,1026
219,24800,1026
220,22221,1026
2698,2986,1026
221,23633,1031
222,565,1031
223,2986,1031
224,2306,1031
225,13360,1031
2699,20099,1031
2700,7065,1037
2701,2293,1038
226,28695,1039
2702,27828,1039
2703,932,1041
2704,175,1042
227,22220,1043
228,941,1043
2705,23427,1043
2706,16940,1046
2707,12029,1047
2708,15192,1048
229,3126,1049
2709,20631,1049
230,82,1051
2710,869,1051
2711,516,1053
2712,25513,1054
2713,1250,1055
2714,227,1056
231,14170,1057
2715,3704,1057
2716,28288,1059
232,12001,1060
2717,476,1060
2718,27375,1062
2719,516,1063
2720,12030,1064
2721,2900,1065
2722,4702,1066
2723,14852,1067
2724,622,1069
2725,55,1070
2726,815,1071
233,25654,1072
2727,702,1072
234,213,1074
2728,20650,1074
235,17136,1076
236,4702,1076
