,cid,did
3300,16013,1806
3301,15542,1807
3302,23220,1808
3303,25048,1810
3304,5400,1811
3305,14618,1812
366,208,1813
3306,18154,1813
3307,4177,1815
3308,475,1816
3309,28565,1817
3310,15542,1818
3311,2110,1819
3312,1065,1820
3313,227,1821
367,5400,1822
368,552,1822
369,566,1822
370,560,1822
3314,554,1822
3315,12323,1827
3316,480,1828
371,13279,1829
3317,18683,1829
3318,3780,1831
372,2061,1832
373,621,1832
374,41,1832
3319,551,1832
3320,2603,1836
3321,3924,1837
3322,1341,1838
3323,2146,1839
3324,5762,1840
3325,12030,1841
3326,5807,1842
3327,399,1843
375,13428,1844
3328,135,1844
376,252,1846
377,911,1846
3329,3219,1846
378,3124,1849
3330,213,1849
3331,186,1851
3332,911,1852
3333,13397,1853
3334,2191,1854
3335,26721,1855
379,6068,1856
3336,2496,1856
3337,422,1858
3338,1047,1859
3339,13863,1860
380,24951,1861
3340,227,1861
3341,1781,1863
381,242,1864
382,16013,1864
383,13501,1864
384,28069,1864
3342,105,1864
3343,31,1870
3344,27273,1871
3345,5466,1872
3346,16966,1873
3347,29349,1874
3348,12330,1875
3349,27419,1876
3350,14170,1877
385,50,1878
386,27323,1878
387,28074,1878
388,2096,1878
389,102,1878
390,313,1878
391,31,1878
3351,3722,1878
392,213,1886
393,217,1886
394,2718,1886
395,18277,1886
396,18488,1886
397,24065,1886
3352,226,1886
3353,14906,1893
3354,107,1894
3355,7247,1895
3356,171,1896
3357,3026,1897
3358,12029,1898
398,782,1899
399,1149,1899
3359,12001,1899
400,4248,1902
3360,5503,1902
3361,12037,1904
3362,2191,1905
3363,720,1906
3364,12380,1907
3365,5420,1908
3366,2415,1909
3367,249,1910
3368,19299,1911
3369,5844,1912
3370,2415,1913
3371,578,1914
3372,14906,1915
3373,13397,1916
3374,2339,1917
3375,200,1918
3376,245,1919
3377,554,1920
3378,230,1921
3379,12375,1922
3380,2324,1923
401,342,1924
402,808,1924
3381,1252,1924
403,251,1927
404,700,1927
405,422,1927
3382,2820,1927
406,230,1931
3383,77,1931
3384,3139,1933
3385,12204,1934
3386,68,1935
3387,5420,1936
3388,12502,1937
3389,4702,1938
407,1150,1939
3390,20561,1939
3391,14727,1941
3392,12584,1942
3393,2986,1943
3394,2990,1944
408,2191,1945
3395,1291,1945
3396,14727,1947
3397,105,1948
3398,12196,1949
3399,23921,1950
3400,24268,1951
3401,236,1952
3402,849,1953
3403,94,1954
409,1520,1955
410,20600,1955
3404,1127,1955
411,4353,1958
3405,27375,1960
3406,322,1961
3407,23686,1962
3408,22054,1963
3409,13463,1964
3410,4666,1965
3411,28334,1966
3412,12059,1967
3413,23238,1968
3414,5496,1969
3415,2439,1970
412,15631,1971
413,2356,1971
3416,1255,1971
414,249,1974
415,3722,1974
3417,28074,1974
416,195,1977
3418,111,1977
3419,1019,1979
3420,1908,1980
3421,4439,1981
417,664,1982
3422,2337,1982
3423,21960,1984
3424,12030,1985
418,195,1986
3425,94,1986
419,21281,1988
3426,21214,1988
3427,26485,1990
3428,12076,1991
3429,23875,1992
3430,6890,1993
3431,14906,1995
3432,23238,1996
3433,68,1997
3434,14057,1998
3435,2227,1999
3436,27272,2000
420,2291,2001
421,5482,2001
422,12212,2001
423,5508,2001
3437,13863,2001
424,459,2006
3438,395,2006
3439,2780,2008
3440,197,2009
3441,199,2010
3442,24846,2011
3443,396,2012
425,3187,2013
3444,27660,2013
3445,29873,2015
426,514,2016
3446,37,2016
3447,2467,2018
3448,27828,2019
3449,24038,2020
3450,932,2021
3451,20696,2022
3452,1016,2023
3453,3226,2024
3454,20581,2025
3455,37,2026
3456,12312,2027
3457,2806,2028
3458,16355,2029
3459,17576,2030
427,3118,2031
3460,23050,2031
3461,16355,2033
3462,475,2034
3463,3361,2035
3464,15495,2036
3465,27244,2037
3466,15192,2038
3467,17405,2039
428,17405,2040
3468,13819,2040
3469,13586,2042
3470,2497,2043
3471,22868,2044
429,1129,2045
3472,27244,2045
3473,288,2047
3474,184,2048
3475,5324,2049
3476,20076,2050
3477,368,2051
3478,28186,2052
3479,17576,2053
3480,184,2054
3481,27581,2055
3482,3243,2056
430,19961,2057
3483,17405,2057
3484,29582,2059
431,986,2060
3485,782,2060
432,24988,2062
3486,751,2062
3487,4936,2064
3488,2400,2065
3489,2806,2066
3490,321,2067
3491,24985,2068
3492,12029,2069
3493,2970,2070
3494,27581,2071
433,2299,2072
434,77,2072
3495,6068,2072
435,17532,2075
3496,282,2075
3497,1313,2077
436,365,2078
437,514,2078
438,22265,2078
3498,230,2078
3499,5497,2082
3500,12076,2083
439,412,2084
440,34,2084
3501,21241,2084
3502,3348,2087
3503,27206,2088
441,12135,2089
442,5704,2089
3504,2301,2089
3505,5600,2092
3506,2467,2093
3507,13151,2094
3508,2915,2095
443,636,2096
444,19440,2096
445,3135,2096
3509,16996,2096
3510,2910,2100
3511,29547,2101
3512,16012,2102
3513,25097,2103
446,3187,2104
3514,27660,2104
3515,12029,2106
3516,13369,2108
3517,13105,2109
3518,118,2110
3519,3026,2111
3520,255,2112
3521,3617,2113
3522,4244,2114
3523,16706,2115
3524,4767,2116
3525,7902,2117
3526,2100,2119
447,12068,2120
448,18075,2120
3527,25350,2120
3528,285,2123
3529,13675,2124
3530,27458,2125
3531,22118,2126
3532,16867,2127
3533,3049,2128
449,965,2129
450,27738,2129
3534,5458,2129
3535,2705,2132
451,24268,2133
452,22220,2133
453,18075,2133
3536,941,2133
3537,3924,2137
454,2299,2138
3538,13153,2138
3539,24288,2140
3540,24608,2141
3541,14852,2142
455,16795,2143
456,848,2143
3542,4248,2143
3543,3243,2146
3544,24057,2147
3545,4962,2149
3546,737,2150
3547,14266,2151
3548,28695,2152
3549,476,2153
457,516,2154
3550,55,2154
3551,1754,2156
3552,3673,2157
3553,5342,2158
3554,1909,2159
3555,1814,2160
3556,782,2161
3557,5991,2162
3558,13360,2164
3559,27662,2165
3560,321,2166
3561,392,2167
3562,26453,2168
3563,17723,2170
3564,5772,2171
3565,22118,2172
3566,1019,2173
3567,20076,2174
458,2275,2175
3568,20058,2175
3569,3049,2178
459,20661,2179
3570,20650,2179
3571,516,2181
3572,4301,2182
3573,14618,2183
3574,3118,2184
3575,13229,2185
3576,720,2186
460,189,2187
461,5302,2187
3577,602,2187
3578,17130,2190
3579,24145,2191
3580,13156,2192
3581,13156,2193
462,24161,2194
3582,1520,2194
3583,1060,2196
3584,976,2197
3585,13151,2198
3586,4325,2199
3587,12121,2200
3588,2997,2201
3589,2497,2202
3590,26838,2203
3591,303,2205
3592,72,2206
3593,23920,2207
3594,26838,2208
463,1186,2210
3595,942,2210
3596,13683,2212
3597,3750,2213
3598,12966,2214
3599,25397,2215
3600,18286,2216
3601,1957,2217
464,23308,2218
3602,23580,2218
3603,22735,2220
3604,301,2221
3605,2915,2222
3606,12197,2223
3607,2496,2224
3608,24949,2225
3609,2338,2226
3610,92,2227
3611,3546,2228
465,942,2229
3612,1186,2229
3613,23686,2231
3614,25350,2232
466,1957,2233
467,704,2233
468,22388,2233
3615,22387,2233
3616,2705,2237
3617,5342,2238
3618,12220,2239
3619,3897,2240
3620,27039,2241
469,565,2242
3621,2986,2242
3622,476,2244
3623,12397,2245
3624,20076,2246
3625,14235,2247
3626,3722,2248
3627,22933,2249
3628,29545,2250
470,3029,2251
471,34,2251
3629,12849,2251
472,28141,2254
473,556,2254
3630,4640,2254
3631,17576,2257
3632,21281,2258
3633,27039,2259
3634,26453,2260
3635,1520,2262
3636,5455,2263
3637,226,2264
3638,119,2265
3639,578,2266
3640,20099,2267
3641,20944,2268
3642,22265,2269
3643,24882,2270
3644,14415,2271
3645,23220,2272
3646,303,2273
3647,85,2274
3648,3313,2275
3649,1325,2276
474,1019,2277
475,6083,2277
3650,465,2277
3651,7247,2280
3652,5954,2281
3653,17532,2283
3654,57,2284
476,1065,2285
3655,3780,2285
3656,12963,2287
477,856,2288
3657,544,2288
3658,16940,2290
3659,5954,2291
478,246,2292
479,5954,2294
3660,246,2294
3661,13397,2297
3662,5611,2298
3663,782,2299
3664,24985,2300
3665,552,2301
3666,236,2302
3667,20631,2303
3668,24907,2304
3669,28574,2305
3670,23220,2306
3671,12193,2307
3672,27791,2308
3673,2943,2309
3674,25353,2310
3675,2035,2311
3676,256,2312
480,551,2313
481,20058,2313
3677,2275,2313
3678,22040,2316
3679,141,2317
482,345,2318
483,551,2318
484,557,2318
3680,29113,2318
485,12323,2322
486,12734,2322
3681,29113,2322
3682,1742,2325
3683,31,2326
3684,41,2327
3685,3782,2328
3686,5844,2329
3687,13332,2330
3688,20392,2331
3689,4857,2332
3690,24313,2333
3691,12323,2334
3692,1180,2335
3693,3361,2336
3694,27802,2337
3695,242,2338
3696,20944,2339
3697,13105,2340
3698,1313,2341
3699,446,2342
3700,18401,2343
3701,25097,2344
3702,245,2345
3703,3361,2346
3704,24985,2347
3705,2966,2348
3706,12963,2349
3707,2718,2350
3708,18593,2351
3709,18593,2352
3710,5704,2353
3711,26838,2354
3712,161,2355
3713,23039,2356
3714,24986,2357
3715,5926,2358
3716,270,2359
3717,23961,2360
3718,2324,2361
487,21953,2362
488,3885,2362
3719,23238,2362
3720,20099,2365
3721,5423,2366
3722,3041,2367
489,213,2368
3723,217,2368
3724,1026,2370
3725,236,2371
3726,111,2372
3727,12029,2373
3728,5575,2374
3729,502,2375
3730,14252,2376
3731,1140,2377
3732,3885,2378
3733,4702,2379
3734,5452,2380
3735,5458,2381
3736,2567,2382
3737,69,2383
3738,1140,2384
3739,10,2385
3740,24057,2386
490,12052,2387
3741,2305,2387
3742,857,2389
3743,24194,2390
491,27273,2391
3744,720,2391
3745,444,2393
492,250,2394
3746,519,2394
493,7065,2396
3747,5807,2396
3748,1196,2399
3749,24951,2400
3750,12399,2401
494,23039,2402
3751,20314,2402
3752,2997,2404
3753,106,2405
495,217,2406
3754,29,2406
3755,2298,2408
3756,3885,2409
3757,12037,2410
3758,4123,2411
3759,1076,2412
3760,2966,2413
3761,3049,2414
496,1121,2415
497,14556,2415
3762,4149,2415
3763,12037,2418
3764,694,2419
3765,12399,2420
3766,25350,2421
3767,12177,2422
3768,14266,2423
3769,24161,2424
498,285,2425
499,12001,2425
500,2304,2428
3770,3898,2428
3771,1814,2430
3772,28009,2431
3773,26539,2432
3774,986,2433
3775,3780,2434
3776,5077,2435
3777,3897,2436
3778,5077,2437
501,2305,2438
3779,21281,2438
3780,4133,2440
3781,3750,2441
3782,7167,2442
3783,346,2443
3784,59,2444
3785,281,2445
3786,602,2446
3787,1615,2447
3788,2291,2448
3789,22406,2449
3790,43,2450
3791,12193,2451
3792,6548,2452
3793,6890,2453
502,2292,2455
3794,12584,2455
503,12584,2457
3795,12076,2457
3796,1052,2459
3797,13051,2460
3798,16500,2461
3799,1908,2462
504,23956,2463
505,25350,2463
3800,3898,2463
3801,4112,2466
3802,13397,2467
3803,21188,2468
3804,342,2469
3805,200,2470
3806,94,2471
3807,5458,2472
3808,815,2473
3809,5497,2474
3810,18593,2475
3811,21188,2476
3812,10,2477
506,21953,2478
3813,23238,2478
3814,18014,2480
507,19440,2481
3815,636,2481
508,1119,2483
3816,1052,2483
3817,24955,2485
3818,24980,2486
3819,42,2487
3820,16110,2488
3821,22868,2489
3822,1140,2490
3823,24429,2491
3824,155,2492
3825,7167,2493
3826,4727,2494
3827,15473,2495
3828,1178,2496
3829,3707,2497
3830,242,2498
3831,17136,2499
3832,13329,2500
3833,28288,2501
3834,5586,2502
3835,13675,2503
3836,13683,2504
3837,422,2505
3838,2626,2506
3839,25093,2507
3840,29545,2508
3841,12045,2509
3842,13868,2510
511,28018,2511
512,5991,2511
3853,5991,2511
3843,12002,2512
3844,13329,2513
3845,12966,2514
3846,131,2515
3847,1047,2516
3848,247,2517
3849,329,2518
3850,2626,2519
3851,474,2520
509,24610,2521
510,5004,2521
3852,22265,2521
513,2356,2526
3854,15631,2526
3855,12374,2528
514,21281,2529
515,17808,2529
516,4244,2529
3856,20696,2529
3857,6083,2533
3858,2297,2534
517,125,2535
518,56,2535
3859,1024,2535
3860,22118,2538
3861,4335,2539
3862,20058,2540
3863,26721,2541
3864,22008,2542
3865,25097,2543
3866,29583,2544
3867,24769,2545
3868,4177,2546
3869,24769,2547
3870,24769,2548
3871,19611,2549
3872,24769,2550
3873,23740,2551
3874,64,2552
3875,3361,2553
3876,1131,2554
3877,321,2555
519,1127,2556
3878,23308,2556
3879,2304,2558
3880,2386,2559
3881,12121,2560
3882,27257,2561
520,27271,2563
521,8036,2563
522,28018,2563
523,28574,2563
3883,602,2563
3884,23040,2568
3885,18154,2569
3886,25579,2570
3887,3896,2571
3888,3924,2572
3889,301,2573
3890,28589,2574
3891,5023,2575
3892,14482,2576
524,23580,2577
3893,25397,2577
3894,22137,2579
3895,3266,2580
3896,25088,2581
3897,13872,2582
525,965,2583
3898,77,2583
3899,243,2585
3900,230,2586
3901,14618,2587
3902,186,2588
3903,307,2589
3904,2305,2590
3905,869,2591
3906,20600,2592
3907,14871,2594
3908,16355,2595
3909,544,2596
3910,1024,2597
3911,26839,2598
3912,7927,2599
3913,26997,2600
526,538,2601
527,267,2601
528,12416,2601
3914,24169,2601
3915,3041,2605
3916,5326,2606
529,849,2607
3917,15293,2607
3918,2467,2609
3919,12804,2610
3920,306,2611
3921,15495,2612
3922,24619,2613
3923,3885,2614
3924,412,2615
3925,8033,2616
3926,23220,2617
3927,18363,2619
3928,19961,2620
530,12001,2621
3929,18075,2621
3930,12121,2623
3931,29303,2624
3932,20600,2625
3933,266,2627
3934,12109,2628
3935,23220,2629
3936,28018,2630
3937,209,2631
3938,3173,2632
3939,3126,2633
3940,17405,2634
531,19961,2635
3941,2805,2635
3942,3266,2637
3943,12109,2638
3944,12111,2639
3945,2338,2640
3946,64,2641
532,288,2642
3947,64,2642
533,1879,2644
534,82,2644
3948,184,2644
535,16083,2647
3949,13869,2647
3950,27581,2649
3951,12420,2650
3952,24711,2651
3953,1615,2652
3954,3537,2653
3955,1615,2654
3956,27313,2655
3957,782,2656
3958,1615,2657
3959,13863,2658
3960,1052,2659
3961,2943,2660
3962,13229,2661
3963,24585,2662
3964,4149,2663
536,5704,2664
3965,12375,2664
3966,195,2666
3967,5807,2667
3968,12380,2668
3969,265,2669
3970,12295,2670
3971,12288,2671
3972,18787,2672
3973,20051,2673
3974,22735,2674
3975,20883,2675
3976,15542,2676
3977,5671,2677
3978,200,2678
3979,20695,2679
3980,526,2680
3981,23108,2681
3982,124,2682
537,942,2683
3983,1186,2683
3984,592,2685
3985,12397,2686
3986,560,2687
538,3173,2688
3987,13229,2688
3988,2292,2690
539,267,2691
540,25134,2691
3989,8029,2691
3990,508,2694
3991,200,2695
3992,111,2696
3993,554,2697
541,566,2698
3994,12178,2698
3995,5423,2700
3996,2415,2701
3997,27242,2702
3998,2298,2703
3999,21,2704
4000,2035,2705
4001,104,2706
542,29113,2707
4002,27756,2707
4003,200,2709
4004,41,2710
4005,5466,2711
4006,1846,2712
4007,18277,2713
4008,2415,2714
4009,12041,2715
543,4123,2716
4010,7927,2716
4011,1341,2718
4012,114,2719
4013,16297,2720
4014,184,2721
4015,1129,2722
4016,16940,2723
4017,22951,2724
544,13153,2725
545,12375,2725
4018,621,2725
4019,4926,2728
4020,965,2729
4021,12397,2730
4022,14556,2731
4023,12009,2732
4024,12963,2733
4025,14727,2734
4026,12966,2735
4027,541,2736
4028,2299,2737
4029,43,2738
546,554,2739
547,21,2739
548,12734,2739
4030,171,2739
4031,20695,2743
4032,474,2744
549,27273,2745
4033,104,2745
4034,29349,2747
4035,17540,2748
4036,856,2749
4037,636,2750
4038,8021,2751
550,20287,2752
551,3616,2752
552,21331,2752
553,104,2752
554,413,2752
555,14027,2752
556,694,2752
557,607,2752
4039,12324,2752
4040,497,2761
4041,29936,2762
4042,16486,2763
4043,27753,2764
4044,1121,2766
4045,849,2767
4046,18154,2768
4047,29368,2769
4048,20076,2770
4049,24711,2771
558,459,2772
559,16012,2772
4050,161,2772
560,2780,2775
4051,5004,2775
561,20287,2777
4052,13360,2777
4053,2378,2779
4054,2290,2780
4055,18075,2781
4056,20067,2782
4057,3173,2783
4058,42,2784
562,104,2785
4059,27333,2785
4060,12999,2787
4061,15783,2788
563,5498,2789
564,592,2789
4062,14548,2789
565,5503,2792
4063,24474,2792
566,535,2794
567,5772,2794
4064,304,2794
4065,13153,2797
4066,15038,2798
4067,544,2799
4068,1021,2800
4069,28589,2801
568,12607,2802
4070,26721,2802
4071,26520,2804
4072,23638,2805
4073,15293,2806
4074,255,2807
4075,516,2808
4076,3617,2809
4077,5600,2810
4078,4702,2811
4079,2626,2812
4080,14235,2813
4081,12399,2814
4082,12607,2815
4083,4702,2817
4084,1019,2818
4085,2986,2819
4086,395,2820
569,12585,2821
4087,244,2821
4088,5772,2823
4089,77,2824
4090,6423,2825
4091,51,2826
4092,540,2827
570,2997,2828
4093,29936,2828
4094,19440,2830
4095,20661,2831
4096,5200,2832
4097,5704,2833
4098,5342,2834
4099,19969,2835
571,3608,2836
572,2255,2836
573,2957,2836
4100,4325,2836
4101,152,2840
4102,1768,2841
4103,23238,2842
4104,14871,2843
4105,2957,2844
4106,292,2845
4107,13863,2846
574,12585,2847
4108,1016,2847
4109,13872,2849
4110,12585,2850
4111,20076,2851
4112,2439,2852
575,2787,2853
576,28141,2853
4113,27419,2853
4114,395,2856
4115,4353,2857
4116,4162,2858
4117,19969,2859
4118,2915,2860
4119,614,2861
4120,119,2862
4121,37,2863
4122,7902,2864
4123,2378,2865
4124,16486,2866
4125,1024,2867
4126,2966,2868
4127,5503,2869
577,7927,2870
4128,4123,2870
4129,23040,2872
4130,186,2873
4131,42,2874
4132,4361,2875
4133,1909,2876
4134,3480,2877
4135,12178,2878
4136,2966,2879
4137,1054,2880
4138,1908,2881
4139,24345,2882
578,476,2883
4140,3306,2883
4141,2061,2885
4142,2386,2886
4143,4857,2887
4144,72,2888
4145,3313,2889
4146,16486,2890
4147,20600,2891
4148,15293,2892
4149,12001,2893
4150,465,2894
4151,6272,2895
4152,5498,2896
4153,20650,2897
4154,13105,2898
4155,361,2899
4156,23875,2900
4157,15962,2901
4158,301,2902
4159,15542,2903
4160,16966,2904
4161,28018,2905
4162,8021,2906
4163,13518,2907
4164,866,2908
4165,12083,2909
4166,12001,2910
4167,474,2912
4168,42,2913
579,12001,2914
4169,20076,2914
4170,12360,2917
4171,5586,2918
4172,5762,2919
4173,16083,2920
4174,18277,2921
4175,2290,2922
4176,2306,2923
4177,24267,2924
4178,5200,2925
4179,5455,2926
4180,25157,2927
4181,2846,2928
4182,6083,2929
4183,16500,2930
4184,13397,2931
4185,2298,2932
4186,23956,2933
4187,5704,2934
4188,2943,2935
4189,245,2936
4190,237,2937
4191,34,2938
4192,12133,2939
4193,27313,2940
4194,592,2941
4195,26603,2942
4196,5498,2943
4197,13675,2944
580,694,2945
4198,20287,2945
4199,72,2947
4200,4962,2948
4201,3663,2949
4202,965,2950
4203,2163,2951
4204,12324,2952
581,118,2953
582,51,2953
583,13501,2953
4205,12002,2953
4206,13463,2957
4207,7620,2958
4208,28257,2959
4209,13212,2960
584,12323,2961
585,14773,2961
586,12178,2961
587,85,2961
588,1016,2961
589,566,2961
590,597,2961
591,29113,2961
4210,5400,2961
4211,2299,2970
4212,2603,2971
4213,4962,2972
4214,4325,2973
592,19197,2974
4215,209,2974
4216,2603,2976
4217,16500,2977
4218,85,2978
4219,13501,2979
4220,23638,2980
4221,700,2981
4222,1369,2982
4223,14556,2983
4224,27443,2984
4225,102,2985
4226,20793,2986
4227,20392,2987
4228,12966,2988
4229,243,2990
4230,23875,2991
4231,230,2992
4232,6437,2993
4233,13807,2994
4234,1846,2995
4235,26813,2996
4236,41,2997
593,1149,2998
594,2990,2998
4237,13369,2998
4238,7927,3001
4239,14556,3002
4240,5807,3003
595,118,3004
4241,551,3004
4242,12584,3006
4243,5035,3007
4244,3750,3008
4245,602,3009
4246,4926,3010
4247,2324,3011
4248,24038,3012
4249,13463,3013
4250,16486,3014
4251,41,3015
4252,609,3016
4253,337,3017
4254,256,3018
4255,256,3019
4256,27273,3020
4257,3124,3021
4258,2303,3022
4259,23590,3023
596,2415,3024
597,621,3024
4260,694,3024
4261,16166,3027
598,28074,3028
599,1742,3028
4262,22372,3031
4263,23638,3032
4264,445,3033
4265,2294,3034
600,23108,3035
4266,14027,3035
4267,209,3037
601,20207,3038
4268,1846,3038
4269,3041,3040
4270,815,3041
4271,24345,3042
602,12397,3043
4272,16083,3043
4273,1022,3045
4274,2626,3046
4275,5482,3047
4276,2294,3048
4277,20051,3049
4278,23244,3050
4279,17576,3052
4280,336,3053
4281,16138,3054
4282,13397,3055
603,12360,3056
604,27206,3056
4283,12586,3056
4284,1119,3059
4285,21241,3060
605,15228,3061
4286,3367,3061
4287,12068,3064
606,131,3065
4288,856,3065
607,557,3067
4289,1742,3067
4290,348,3069
4291,2629,3070
4292,1909,3071
4293,28334,3072
4294,25350,3074
4295,23884,3075
4296,28074,3076
4297,13397,3077
4298,28334,3078
4299,1019,3080
4300,2598,3081
4301,3049,3082
4302,60,3083
4303,566,3084
4304,24145,3085
4305,3187,3086
4306,186,3087
4307,15192,3088
4308,12212,3089
4309,15853,3090
4310,12177,3091
4311,23401,3092
4312,10,3093
608,6083,3094
4313,282,3094
4314,27387,3096
4315,5600,3097
609,2299,3098
4316,252,3098
4317,25091,3100
4318,614,3101
4319,502,3102
4320,16012,3103
4321,26839,3104
4322,5611,3105
4323,28300,3106
4324,1105,3107
4325,27738,3108
4326,13807,3109
4327,131,3110
4328,20289,3111
4329,25130,3112
4330,12804,3113
4331,231,3114
4332,244,3115
4333,27698,3116
4334,2461,3117
4335,14235,3118
610,849,3119
4336,15293,3119
4337,23961,3121
4338,68,3122
611,4767,3123
4339,155,3123
4340,68,3125
612,2255,3126
613,866,3126
4341,152,3126
4342,24610,3129
4343,4727,3130
4344,337,3131
614,200,3132
4345,154,3132
615,13332,3134
4346,21960,3134
4347,432,3136
4348,5200,3137
4349,25777,3138
4350,12607,3139
616,29113,3140
4351,12005,3140
4352,303,3142
4353,1318,3143
4354,976,3144
4355,1060,3145
4356,27698,3146
4357,26813,3147
617,27538,3148
4358,5586,3150
4359,12058,3151
4360,20631,3152
618,1186,3153
4361,942,3153
4362,4244,3155
4363,12498,3156
4364,2110,3157
4365,23244,3158
4366,4764,3159
4367,16706,3160
619,16083,3161
620,26626,3161
4368,13869,3161
621,17136,3164
4369,217,3164
4370,29936,3166
4371,1220,3167
4372,26813,3168
4373,24907,3169
4374,22219,3170
4375,25008,3171
4376,22219,3172
4377,2915,3173
4378,19611,3174
4379,29776,3175
4380,2300,3176
4381,3782,3177
4382,4144,3178
4383,20661,3179
4384,29,3180
622,34,3181
4385,1577,3181
4386,12193,3183
4387,1105,3184
4388,31,3185
4389,19197,3186
4390,2806,3187
623,93,3188
4391,85,3188
4392,1577,3190
4393,4177,3191
4394,1178,3192
4395,12121,3193
4396,12121,3194
4397,29519,3195
4398,4169,3196
4399,29936,3197
4400,597,3198
4401,22735,3199
4402,13518,3200
4403,18488,3201
4404,1754,3202
624,1140,3203
625,1060,3203
626,1076,3203
627,1105,3203
628,3187,3203
4405,1056,3203
4406,24610,3209
629,28472,3210
630,24610,3210
4407,24610,3210
4408,4962,3213
4409,1250,3214
631,16966,3215
4410,24711,3215
4411,17157,3217
4412,14266,3218
4413,514,3219
4414,5626,3220
4415,13868,3221
4416,5420,3223
4417,4162,3224
4418,737,3225
4419,5611,3226
4420,1106,3227
4421,514,3228
4422,62,3229
4423,1255,3230
4424,19969,3231
4425,13036,3232
4426,23220,3233
4427,24769,3234
4428,1313,3235
4429,1126,3236
4430,23220,3237
4431,16110,3238
4432,14801,3239
4433,14801,3240
4434,337,3241
632,20067,3242
633,25940,3242
634,24048,3242
4435,12519,3242
4436,23875,3246
4437,13518,3247
4438,60,3248
4439,31,3249
4440,869,3250
4441,475,3251
4442,12968,3252
4443,16013,3253
4444,3885,3254
4445,2304,3255
4446,23040,3256
4447,1054,3257
4448,27257,3258
4449,3537,3260
4450,1106,3261
4451,20600,3262
4452,27802,3264
4453,267,3265
4454,24610,3266
635,23257,3267
4455,23638,3267
4456,154,3269
636,3187,3270
4457,27660,3270
4458,17136,3272
4459,288,3273
4460,1577,3274
637,664,3275
4461,284,3275
4462,303,3277
4463,621,3278
4464,1121,3279
4465,820,3280
4466,12037,3281
4467,815,3282
4468,43,3283
4469,13869,3284
4470,856,3285
4471,856,3286
4472,5954,3287
638,282,3289
4473,94,3289
4474,34,3291
4475,12966,3292
639,5458,3293
4476,3780,3293
640,20314,3295
641,838,3295
642,123,3295
4477,23039,3295
4478,1093,3299
4479,24267,3300
643,3897,3301
4480,3135,3301
4481,1318,3303
644,1026,3304
645,329,3304
4482,26813,3304
4483,391,3307
646,13501,3308
647,20695,3308
648,23589,3308
4484,444,3308
4485,1106,3312
4486,16577,3313
4487,2297,3314
4488,12177,3315
4489,265,3316
4490,13397,3317
4491,13229,3318
4492,20099,3319
4493,13166,3320
4494,7620,3321
4495,3049,3322
4496,22054,3323
649,848,3324
4497,1016,3324
4498,346,3326
4499,25008,3327
4500,28441,3328
4501,4679,3329
4502,245,3330
4503,110,3331
4504,16138,3332
4505,20051,3333
4506,3118,3334
4507,22219,3335
4508,7947,3336
4509,24267,3337
4510,997,3338
4511,392,3339
4512,23,3340
4513,13212,3341
4514,22933,3342
4515,28334,3343
4516,23238,3345
4517,24769,3346
4518,5135,3347
4519,102,3348
4520,13819,3349
4521,1742,3350
650,2334,3351
651,20703,3351
4522,2290,3351
652,2275,3354
4523,20058,3354
4524,17532,3356
4525,1291,3357
4526,3041,3358
653,307,3359
4527,23427,3359
4528,227,3361
4529,3306,3362
4530,5326,3363
654,12360,3364
4531,657,3364
4532,445,3366
655,3306,3367
4533,94,3367
4534,3480,3369
4535,23244,3370
4536,525,3371
4537,3898,3372
656,1140,3373
4538,208,3373
4539,14705,3375
4540,15841,3376
4541,12607,3377
4542,2957,3378
657,5423,3379
4543,1320,3379
4544,857,3381
4545,5671,3382
4546,20695,3383
4547,21196,3384
4548,607,3385
4549,14222,3386
4550,2334,3387
4551,25350,3388
4552,13166,3389
4553,808,3390
4554,12399,3391
4555,5600,3392
4556,3546,3393
4557,16083,3394
4558,4335,3395
4559,1054,3396
4560,16355,3397
4561,19440,3398
4562,1093,3399
658,12420,3400
4563,22868,3400
4564,391,3403
4565,391,3404
659,4123,3405
4566,7927,3405
4567,25353,3407
4568,26626,3408
4569,12055,3409
4570,538,3410
4571,5466,3411
4572,5342,3412
4573,3348,3413
4574,2496,3414
4575,1908,3415
4576,2305,3416
4577,1252,3417
660,252,3418
661,4857,3418
4578,976,3418
4579,28695,3421
662,6423,3422
663,14027,3422
664,535,3422
665,3029,3422
666,6890,3422
4580,24949,3422
667,251,3428
4581,12380,3430
4582,16166,3431
668,1742,3432
4583,3897,3434
4584,2304,3435
4585,25169,3436
4586,2141,3437
4587,24038,3438
4588,197,3439
4589,28009,3440
4590,27753,3441
669,265,3442
670,21281,3442
671,5302,3442
4591,4248,3446
4592,28334,3447
4593,4666,3449
4594,24986,3450
672,15618,3451
4595,24882,3451
673,23108,3453
4596,14027,3453
4597,1252,3455
4598,28009,3456
4599,270,3457
4600,94,3458
4601,465,3459
4602,28009,3460
4603,6890,3461
674,2153,3462
4604,368,3464
675,3118,3465
4605,1909,3465
4606,104,3467
4607,1742,3468
676,1121,3469
677,23039,3469
4608,2061,3469
4609,16996,3472
678,21241,3473
4610,2296,3473
4611,1196,3475
4612,3135,3476
4613,3148,3477
4614,4666,3478
4615,2089,3479
4616,24429,3480
4617,3885,3481
679,12204,3482
4618,24937,3482
4619,12115,3484
