"ID","SID","city"
260,19,"Burhanpur"
261,19,"Chhatarpur"
262,19,"Chhindwara"
263,19,"Satna"
264,19,"Gwalior"
265,19,"Damoh"
266,19,"Datia"
267,19,"Dewas"
268,19,"Dhar"
269,19,"Dindori"
270,19,"Fatehabad"
271,19,"Guna"
272,19,"Harda"
273,19,"Hoshangabad"
274,19,"Indore"
275,19,"Jabalpur"
276,19,"Morena"
277,19,"Katni"
278,19,"Khandwa"
279,19,"Khargone"
280,19,"Sagar"
281,19,"Mandla"
282,19,"Neemuch"
283,19,"Raisen"
284,19,"Mandsaur"
285,19,"Rewa"
286,19,"Ujjain"
287,19,"Rajgarh"
288,19,"Narsinghpur"
289,19,"Umaria"
290,19,"Panna"
291,19,"Ratlam"
292,19,"Sehore"
293,19,"Seoni"
294,19,"Shahdol"
295,19,"Shajapur"
296,19,"Sheopur"
297,19,"Shivpuri"
298,19,"Sidhi"
299,19,"Singrauli"
300,19,"Vidisha"
301,20,"Amravati"
302,20,"Ahmednagar"
303,20,"Latur"
304,20,"Sindhudurg"
305,20,"Solapur"
306,20,"Akola"
307,20,"Pune"
308,20,"Raigad"
309,20,"Beed"
310,20,"Wardha"
311,20,"Sangli"
312,20,"Aurangabad"
313,20,"Bhandara"
314,20,"Thane"
315,20,"Jalgaon"
316,20,"Buldhana"
317,20,"Chandrapur"
318,20,"Ratnagiri"
319,20,"Dhule"
320,20,"Gadchiroli"
321,20,"Yavatmal"
322,20,"Gondia"
323,20,"Hingoli"
324,20,"Kolhapur"
325,20,"Jalna"
326,20,"Nagpur"
327,20,"Satara"
328,20,"Nanded"
329,20,"Nashik"
330,20,"Washim"
331,20,"Parbhani"
332,20,"Mumbai"
333,20,"Nandurbar"
334,20,"Osmanabad"
335,20,"Palghar"
336,21,"Bishnupur"
337,21,"Chandel"
338,21,"Churachandpur"
339,21,"Imphal East"
340,21,"Imphal West"
341,21,"Senapati"
342,21,"Tamenglong"
343,21,"Thoubal"
344,21,"Ukhrul"
345,22,"East Garo Hills"
346,22,"East Khasi Hills"
347,22,"West Jaintia Hills"
348,22,"Ri-Bhoi"
349,22,"South Garo Hills"
350,22,"West Garo Hills"
351,22,"West Khasi Hills"
352,23,"Aizawl"
353,23,"Champhai"
354,23,"Kolasib"
355,23,"Lawngtlai"
356,23,"Lunglei"
357,23,"Mamit"
358,23,"Saiha"
359,23,"Serchhip"
360,24,"Dimapur"
361,24,"Kiphire"
362,24,"Kohima"
363,24,"Longleng"
364,24,"Mokokchung"
365,24,"Mon"
366,24,"Peren"
367,24,"Phek"
368,24,"Tuensang"
369,24,"Wokha"
370,24,"Zunheboto"
371,25,"Kendujhar"
372,25,"Angul"
373,25,"Ganjam"
374,25,"Balangir"
375,25,"Balasore"
376,25,"Sundargarh"
377,25,"Bargarh"
378,25,"Mayurbhanj"
379,25,"Bhadrak"
380,25,"Jharsuguda"
381,25,"Kalahandi"
382,25,"Dhenkanal"
383,25,"Khordha"
384,25,"Boudh"
385,25,"Sambalpur"
386,25,"Jajpur"
387,25,"Cuttack"
388,25,"Deogarh"
389,25,"Gajapati"
390,25,"Rayagada"
391,25,"Jagatsinghpur"
392,25,"Koraput"
393,25,"Kendrapara"
394,25,"Kandhamal"
395,25,"Malkangiri"
396,25,"Nabarangpur"
397,25,"Nayagarh"
398,25,"Nuapada"
399,25,"Puri"
400,25,"Subarnapur"
401,26,"Karaikal"
402,26,"Pondicherry"
403,27,"Sangrur"
404,27,"Amritsar"
405,27,"Barnala"
406,27,"Gurdaspur"
407,27,"Bathinda"
408,27,"Moga"
409,27,"Mansa"
410,27,"Hoshiarpur"
411,27,"Faridkot"
412,27,"Fazilka"
413,27,"Ferozepur"
414,27,"Fatehgarh Sahib"
415,27,"Sri Muktsar Sahib"
416,27,"Ludhiana"
417,27,"Jalandhar"
418,27,"Kapurthala"
419,27,"Sahibzada Ajit Singh Nagar"
420,27,"Rupnagar"
421,27,"Patiala"
422,27,"Shaheed Bhagat Singh Nagar"
423,27,"Pathankot"
424,27,"Tarn Taran"
425,28,"Ajmer"
426,28,"Alwar"
427,28,"Pali"
428,28,"Dausa"
429,28,"Banswara"
430,28,"Baran"
431,28,"Barmer"
432,28,"Bharatpur"
433,28,"Bhilwara"
434,28,"Jalore"
435,28,"Bikaner"
436,28,"Jodhpur"
437,28,"Bundi"
438,28,"Chittaurgarh"
439,28,"Churu"
440,28,"Dhaulpur"
441,28,"Dungarpur"
442,28,"Sikar"
443,28,"Sri Ganganagar"
444,28,"Hanumangarh"
445,28,"Jaipur"
446,28,"Jaisalmer"
447,28,"Jhalawar"
448,28,"Jhunjhunu"
449,28,"Karauli"
450,28,"Kota"
451,28,"Nagaur"
452,28,"Tonk"
453,28,"Sirohi"
454,28,"Rajsamand"
455,28,"Pratapgarh"
456,28,"Sawai Madhopur"
457,28,"Udaipur"
458,29,"East Sikkim"
459,29,"North Sikkim"
460,29,"South Sikkim"
461,29,"West Sikkim"
462,30,"Vellore"
463,30,"Ariyalur"
464,30,"Virudhunagar"
465,30,"Erode"
466,30,"Kanchipuram"
467,30,"Chennai"
468,30,"Villupuram"
469,30,"Coimbatore"
470,30,"Nilgiris"
471,30,"Cuddalore"
472,30,"Dharmapuri"
473,30,"Dindigul"
474,30,"Kanyakumari"
475,30,"Sivaganga"
476,30,"Karur"
477,30,"Krishnagiri"
478,30,"Tiruchirappalli"
479,30,"Madurai"
480,30,"Nagapattinam"
481,30,"Namakkal"
482,30,"Thanjavur"
483,30,"Salem"
484,30,"Tiruppur"
485,30,"Tirunelveli"
486,30,"Ramanathapuram"
487,30,"Perambalur"
488,30,"Theni"
489,30,"Tiruvannamalai"
490,30,"Tiruvallur"
491,30,"Pudukkottai"
492,30,"Thiruvarur"
493,30,"Thoothukudi"
494,31,"Hyderabad"
495,31,"Medak"
496,31,"Nizamabad"
497,31,"Ranga Reddy"
498,31,"Warangal"
499,32,"West Tripura"
500,32,"Dhalai"
501,32,"North Tripura"
502,32,"South Tripura"
503,33,"Mathura"
504,33,"Mau"
505,33,"Agra"
506,33,"Aligarh"
507,33,"Allahabad"
508,33,"Ambedkar Nagar"
509,33,"Amroha"
510,33,"Auraiya"
511,33,"Azamgarh"
512,33,"Badaun"
513,33,"Bagpat"
514,33,"Bahraich"
515,33,"Ballia"
516,33,"Balrampur"
517,33,"Banda"
518,33,"Barabanki"
519,33,"Bareilly"
520,33,"Etawah"
521,33,"Bijnor"
522,33,"Bulandshahar"
523,33,"Etah"
524,33,"Chandauli"
525,33,"Sambhal"
526,33,"Mahoba"
527,33,"Chitrakoot"
528,33,"Gautam Buddh Nagar"
529,33,"Deoria"
530,33,"Faizabad"
531,33,"Farrukhabad"
532,33,"Fatehpur"
533,33,"Unnao"
534,33,"Firozabad"
535,33,"Kanpur Nagar"
536,33,"Ghaziabad"
537,33,"Ghazipur"
538,33,"Gonda"
539,33,"Gorakhpur"
540,33,"Hamirpur"
541,33,"Hardoi"
542,33,"Meerut"
543,33,"Hathras"
544,33,"Rae Bareli"
545,33,"Jalaun"
546,33,"Jaunpur"
547,33,"Jhansi"
548,33,"Kannauj"
549,33,"Kaushambi"
550,33,"Lakhimpur Kheri"
551,33,"Sonbhadra"
552,33,"Kushinagar"
553,33,"Sitapur"
554,33,"Pratapgarh"
555,33,"Mirzapur"
556,33,"Lalitpur"
557,33,"Lucknow"
558,33,"Maharajganj"
559,33,"Mainpuri"
560,33,"Moradabad"
561,33,"Muzaffarnagar"
562,33,"Saharanpur"
563,33,"Pilibhit"
564,33,"Hapur"
565,33,"Shahjahanpur"
566,33,"Kanpur Dehat"
567,33,"Rampur"
568,33,"Sant Kabir Nagar"
569,33,"Sant Ravidas Nagar"
570,33,"Shrawasti"
571,33,"Siddharthnagar"
572,33,"Sultanpur"
573,33,"Varanasi"
574,34,"Almora"
575,34,"Bageshwar"
576,34,"Udham Singh Nagar"
577,34,"Pithoragharh"
578,34,"Chamoli"
579,34,"Tehri Garhwal"
580,34,"Champawat"
581,34,"Pithoragarh"
582,34,"Dehradun"
583,34,"Nainital"
584,34,"Haridwar"
585,34,"Pauri Garhwal"
586,34,"Rudraprayag"
587,34,"Uttarkashi"
588,35,"Purulia"
589,35,"Jalpaiguri"
590,35,"Hooghly"
591,35,"Bardhaman"
592,35,"Howrah"
593,35,"Dakshin Dinajpur"
594,35,"Bankura"
595,35,"South 24 Parganas"
596,35,"North 24 Parganas"
597,35,"Darjeeling"
598,35,"Birbhum"
599,35,"Purba Medinipur"
600,35,"Cooch Behar"
601,35,"Uttar Dinajpur"
602,35,"Murshidabad"
603,35,"Kolkata"
604,35,"West Medinipur"
605,35,"Nadia"
606,35,"Malda"
