Sno,name,party,state
134,"O Brien, Shri Derek ",AITC,West Bengal
135,"Panchariya, Shri Narayan Lal ",BJP,Rajasthan
136,"Pande, Shri Avinash ",INC,Maharashtra
137,"Pandian, Shri Paul Manoj ",AIADMK,Tamil Nadu
138,"Pandya, Shri Dilipbhai ",BJP,Gujarat
139,"Parasaran, Shri K. ",NOM.,Nominated
140,"Parida, Shri Baishnab ",BJD,Odisha
141,"Parrikar, Shri Manohar ",BJP,Uttar Pradesh
142,"Patel, Shri Ahmed ",INC,Gujarat
143,"Patel, Shri Praful ",NCP,Maharashtra
144,"Patil, Shri Basawaraj ",BJP,Karnataka
145,"Patil, Smt. Rajani ",INC,Maharashtra
146,"Pawar, Shri Sharad ",NCP,Maharashtra
147,"Perween, Smt. Kahkashan ",JD(U),Bihar
148,"Prabhu, Shri Suresh ",BJP,Haryana
149,"Pradhan, Shri Dharmendra ",BJP,Bihar
150,"Prasad, Shri Ravi Shankar ",BJP,Bihar
151,"Punia, Shri P.L. ",INC,Uttar Pradesh
152,"Ragesh, Shri K.K. ",CPI(M),Kerala
153,"Raja, Shri D. ",CPI,Tamil Nadu
154,"Rajan, Shri Ambeth ",BSP,Uttar Pradesh
155,"Rajaram, Shri ",BSP,Uttar Pradesh
156,"Ramalingam, Dr. K.P. ",DMK,Tamil Nadu
157,"Ramesh, Shri C.M. ",TDP,Telangana
158,"Ramesh, Shri Jairam ",INC,Andhra Pradesh
159,"Rangarajan, Shri T.K. ",CPI(M),Tamil Nadu
160,"Rangasayee Ramakrishna, Shri ",BJP,Karnataka
161,"Rao, Shri Garikapati Mohan ",TDP,Telangana
162,"Rao, Dr. K. Keshava ",TRS,Andhra Pradesh
163,"Rao, Dr. K.V.P. Ramachandra ",INC,Telangana
164,"Rao, Shri V. Hanumantha ",INC,Telangana
165,"Rapolu, Shri Ananda Bhaskar ",INC,Telangana
166,"Rashtrapal, Shri Praveen ",INC,Gujarat
167,"Rathinavel, Shri T. ",AIADMK,Tamil Nadu
168,"Raut, Shri Sanjay ",SS,Maharashtra
169,"Ravi, Shri Vayalar ",INC,Kerala
170,"Reddy, Shri D. Kupendra ",JD(S),Karnataka
171,"Reddy, Shri Palvai Govardhan ",INC,Telangana
172,"Reddy, Dr. T. Subbarami ",INC,Andhra Pradesh
173,"Rekha, Ms. ",NOM.,Nominated
174,"Roy, Shri Mukul ",AITC,West Bengal
175,"Roy, Shri Sukhendu Sekhar ",AITC,West Bengal
176,"Sable, Shri Amar Shankar ",BJP,Maharashtra
177,"Sadho, Dr. Vijaylaxmi ",INC,Madhya Pradesh
178,"Sahani, Dr. Anil Kumar ",JD(U),Bihar
179,"Sahu, Shri Dhiraj Prasad ",INC,Jharkhand
180,"Sai, Shri Nand Kumar ",BJP,Chhattisgarh
181,"Saini, Shri Rajpal Singh ",BSP,Uttar Pradesh
182,"Salam, Haji Abdul ",INC,Manipur
183,"Saleem, Chaudhary Munvvar ",SP,Uttar Pradesh
184,"Sancheti, Shri Ajay ",BJP,Maharashtra
185,"Sanjiv Kumar, Shri ",JMM,Jharkhand
186,"Sasikala Pushpa, Smt. ",AIADMK,Tamil Nadu
187,"Seelam, Shri Jesudasu ",INC,Andhra Pradesh
188,"Seema, Dr. T.N. ",CPI(M),Kerala
189,"Seetharama Lakshmi, Smt. Thota ",TDP,Andhra Pradesh
190,"Selja, Kumari ",INC,Haryana
191,"Selvaraj, Shri A. K. ",AIADMK,Tamil Nadu
192,"Sen, Ms. Dola ",AITC,West Bengal
193,"Sen, Shri Tapan Kumar ",CPI(M),West Bengal
194,"Sharma, Shri Satish ",INC,Uttar Pradesh
195,"Shekhar, Shri Neeraj ",SP,Uttar Pradesh
196,"Shukla, Shri Rajeev ",INC,Maharashtra
197,"Singh, Shri Arvind Kumar ",SP,Uttar Pradesh
198,"Singh, Shri Bashistha Narain ",JD(U),Bihar
199,"Singh, Shri Bhupinder ",BJD,Odisha
200,"Singh, Shri Birender ",BJP,Haryana
201,"Singh, Shri Digvijaya ",INC,Madhya Pradesh
202,"Singh, Smt. Kanak Lata ",SP,Uttar Pradesh
203,"Singh, Dr. Kanwar Deep ",AITC,West Bengal
204,"Singh, Dr. Manmohan ",INC,Assam
205,"Singh, Shri Ramchandra Prasad ",JD(U),Bihar
206,"Singh, Shri Veer ",BSP,Uttar Pradesh
207,"Singh Badnore, Shri V.P. ",BJP,Rajasthan
208,"Singhvi, Dr. Abhishek Manu ",INC,Rajasthan
209,"Sinh, Dr. Sanjay ",INC,Assam
210,"Sinha, Shri R. K. ",BJP,Bihar
211,"Siva, Shri Tiruchi ",DMK,Tamil Nadu
212,"Soni, Smt. Ambika ",INC,Punjab
213,"Sood, Smt. Bimla Kashyap ",BJP,Himachal Pradesh
214,"Sudharani, Smt. Gundu ",TDP,Telangana
215,"Swamy, Shri A.V. ",IND.,Odisha
216,"Syiem, Smt. Wansuk ",INC,Meghalaya
217,"Tarun Vijay, Shri ",BJP,Uttarakhand
218,"Tazeen Fatma, Dr. ",SP,Uttar Pradesh
219,"Tendulkar, Shri Sachin Ramesh ",NOM.,Nominated
220,"Thakur, Dr. C.P. ",BJP,Bihar
221,"Thakur, Shri Ram Nath ",JD(U),Bihar
222,"Thakur, Smt. Viplove ",INC,Himachal Pradesh
223,"Thangavelu, Shri S. ",DMK,Tamil Nadu
224,"Tirkey, Shri Dilip Kumar ",BJD,Odisha
225,"Tiwari, Shri Alok ",SP,Uttar Pradesh
226,"Tiwari, Shri Pramod ",INC,Uttar Pradesh
227,"Tlau, Shri Ronald Sapa ",INC,Mizoram
228,"Tripathi, Shri D.P. ",NCP,Maharashtra
229,"Tulsi, Shri K.T.S. ",NOM.,Nominated
230,"Tundiya, Mahant Shambhuprasadji ",BJP,Gujarat
231,"Tyagi, Shri K.C. ",JD(U),Bihar
232,"Vadodia, Shri Lal Sinh ",BJP,Gujarat
233,"Varma, Shri Pavan Kumar ",JD(U),Bihar
234,"Vegad, Shri Shankarbhai N. ",BJP,Gujarat
235,"Verma, Shri Ravi Prakash ",SP,Uttar Pradesh
236,"Vijila Sathyananth, Smt. ",AIADMK,Tamil Nadu
237,"Vora, Shri Motilal ",INC,Chhattisgarh
238,"Yadav, Shri Bhupender ",BJP,Rajasthan
239,"Yadav, Dr. Chandrapal Singh ",SP,Uttar Pradesh
240,"Yadav, Shri Darshan Singh ",SP,Uttar Pradesh
241,"Yadav, Prof. Ram Gopal ",SP,Uttar Pradesh
242,"Yadav, Shri Sharad ",JD(U),Bihar
243,"Yechury, Shri Sitaram ",CPI(M),West Bengal
244,"Zhimomi, Shri Khekiho ",NPF,Nagaland
