State,Constituency,Date Of Election,Candidate,Candidate ID,Party,Age,Sex,Category
ASSAM,JORHAT,4/7/2014,Kamakhya Prasad Tasa,85,BJP,38,M,GEN
ASSAM,KALIABOR,4/7/2014,Gourav Gogoi,115,INC,31,M,GEN
ASSAM,KARIMGANJ,4/12/2014,Radheshyam Biswas,2240,AIUDF,59,M,SC
ASSAM,KOKRAJHAR,4/24/2014,Naba Kumar Sarania,4096,IND,45,M,SC
ASSAM,LAKHIMPUR,4/7/2014,Sarbananda Sonowal,517,BJP,52,M,GEN
ASSAM,MANGALDOI,4/24/2014,Ramen Deka,83,BJP,59,M,GEN
ASSAM,NOWGONG,4/24/2014,Rajen Gohain,84,BJP,63,M,GEN
ASSAM,SILCHAR,4/12/2014,Sushmita Dev,2255,INC,41,F,GEN
ASSAM,TEZPUR,4/7/2014,Ram Prasad Sarmah,80,BJP,58,M,GEN
BIHAR,ARARIA,4/24/2014,Taslim Uddin,4456,RJD,72,M,GEN
BIHAR,ARRAH,4/17/2014,Raj Kumar Singh,2641,BJP,61,M,GEN
BIHAR,AURANGABAD,4/10/2014,Sushil Kumar Singh,371,BJP,48,M,GEN
BIHAR,BANKA,4/24/2014,Jaiprakash Narayan Yadav,4467,RJD,60,M,GEN
BIHAR,BEGUSARAI,4/30/2014,Bhola Singh,6156,BJP,75,M,GEN
BIHAR,BHAGALPUR,4/24/2014,Shailesh Kumar Urph Bulo Mandal,4470,RJD,38,M,GEN
BIHAR,BUXAR,4/17/2014,Ashwini Kumar Choubey,2656,BJP,61,M,GEN
BIHAR,DARBHANGA,4/30/2014,Kirti Azad,6166,BJP,55,M,GEN
BIHAR,GAYA,4/10/2014,Hari Manjhi,155,BJP,51,M,SC
BIHAR,GOPALGANJ,5/12/2014,Janak Ram,9138,BJP,42,M,SC
BIHAR,HAJIPUR,5/7/2014,Ram Vilas Paswan,8120,LJP,67,M,SC
BIHAR,JAHANABAD,4/17/2014,Dr. Arun Kumar,2671,Rashtriya Lok Samta Party,55,M,GEN
BIHAR,JAMUI,4/10/2014,Chirag Kumar Paswan,158,LJP,32,M,SC
BIHAR,JHANJHARPUR,4/30/2014,Birendra Kumar Chaudhary,6180,BJP,60,M,GEN
BIHAR,KARAKAT,4/10/2014,Upendra Kushwaha,554,Rashtriya Lok Samta Party,51,M,GEN
BIHAR,KATIHAR,4/24/2014,Shah Tariq Anwar,4109,NCP,63,M,GEN
BIHAR,KHAGARIA,4/30/2014,Choudhary Mahboob Ali Kaiser,6773,LJP,47,M,GEN
BIHAR,KISHANGANJ,4/24/2014,Mohammad Asrarul Haque,4488,INC,67,M,GEN
BIHAR,MADHEPURA,4/30/2014,Rajesh Ranjan Urf Pappu Yadav,6198,RJD,46,M,GEN
BIHAR,MADHUBANI,4/30/2014,Hukum Deo Narayan Yadav,6237,BJP,77,M,GEN
BIHAR,MAHARAJGANJ,5/7/2014,Janardan Singh Sigriwal,87,BJP,50,M,GEN
BIHAR,MUNGER,4/17/2014,Veena Devi,2695,LJP,41,F,GEN
BIHAR,MUZAFFARPUR,5/7/2014,Ajay Nishad,8130,BJP,45,M,GEN
BIHAR,NALANDA,4/17/2014,Kaushlendra Kumar,2725,JD(U),49,M,GEN
BIHAR,NAWADA,4/10/2014,Giriraj Singh,149,BJP,61,M,GEN
BIHAR,PASCHIM CHAMPARAN,5/12/2014,Dr. Sanjay Jayaswal,114,BJP,49,M,GEN
BIHAR,PATALIPUTRA,4/17/2014,Ram Kripal Yadav,2750,BJP,53,M,GEN
BIHAR,PATNA SAHIB,4/17/2014,Shatrughan Sinha,88,BJP,67,M,GEN
BIHAR,PURNIA,4/24/2014,Santosh Kumar,3975,JD(U),35,M,GEN
BIHAR,PURVI CHAMPARAN,5/12/2014,Radha Mohan Singh,9156,BJP,64,M,GEN
BIHAR,SAMASTIPUR,4/30/2014,Ram Chandra Paswan,6248,LJP,53,M,SC
BIHAR,SARAN,5/7/2014,Rajiv Pratap Rudy,8143,BJP,53,M,GEN
BIHAR,SASARAM,4/10/2014,Chhedi Paswan,145,BJP,58,M,SC
BIHAR,SHEOHAR,5/7/2014,Rama Devi,8144,BJP,65,F,GEN
BIHAR,SITAMARHI,5/7/2014,Ram Kumar Sharma,8558,Rashtriya Lok Samta Party,50,M,GEN
BIHAR,SIWAN,5/12/2014,Om Prakash Yadav,9167,BJP,48,M,GEN
BIHAR,SUPAUL,4/24/2014,Ranjeet Ranjan,4499,INC,41,F,GEN
BIHAR,UJIARPUR,5/7/2014,Nityanand Rai,8154,BJP,48,M,GEN
BIHAR,VAISHALI,5/12/2014,Rama Kishore Singh,9179,LJP,51,M,GEN
BIHAR,VALMIKI NAGAR,5/12/2014,Satish Dubey,113,BJP,39,M,GEN
CHANDIGARH,CHANDIGARH,4/10/2014,Smt. Kirron Kher,72,BJP,61,F,GEN
CHHATTISGARH,BASTAR,4/10/2014,Dinesh Kashyap,111,BJP,51,M,ST
CHHATTISGARH,BILASPUR,4/24/2014,Lakhanlal Sau S/O Kalyan Lal Sahu,106,BJP,43,M,GEN
CHHATTISGARH,DURG,4/24/2014,Tamradwaj Sahu,3985,INC,65,M,GEN
CHHATTISGARH,JANJGIR-CHAMPA,4/24/2014,Smt. Kamla Patle,104,BJP,48,F,SC
CHHATTISGARH,KANKER,4/17/2014,Vikram Usendi,112,BJP,48,M,ST
CHHATTISGARH,KORBA,4/24/2014,Dr. Banshilal Mahato,105,BJP,73,M,GEN
CHHATTISGARH,MAHASAMUND,4/17/2014,Chandu Lal Sahu (Chandu Bhaiya) S/O Late Puneen Ram,110,BJP,54,M,GEN
CHHATTISGARH,RAIGARH,4/24/2014,Vishnudev Sai,103,BJP,50,M,ST
CHHATTISGARH,RAIPUR,4/24/2014,Ramesh Bais,109,BJP,66,M,GEN
CHHATTISGARH,RAJNANDGAON,4/17/2014,Abhishek Singh,107,BJP,33,M,GEN
CHHATTISGARH,SURGUJA,4/24/2014,Kamalbhan Singh,102,BJP,51,M,ST
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,4/30/2014,Natubhai G. Patel,7905,BJP,41,M,ST
DAMAN & DIU,DAMAN & DIU,4/30/2014,Patel Lalubhai Babubhai,6084,BJP,58,M,GEN
GOA,NORTH GOA,4/12/2014,Shripad Yesso Naik,1979,BJP,61,M,GEN
GOA,SOUTH GOA,4/12/2014,Adv. Narendra Keshav Sawaikar,1989,BJP,47,M,GEN
GUJARAT,AHMEDABAD EAST,4/30/2014,Paresh Dahyalal Rawal,5283,BJP,59,M,GEN
GUJARAT,AHMEDABAD WEST,4/30/2014,Dr. Solanki Kiritbhai Premjibhai,4562,BJP,64,M,SC
GUJARAT,AMRELI,4/30/2014,Kachhadiya Naranbhai Bhikhabhai,5294,BJP,58,M,GEN
GUJARAT,ANAND,4/30/2014,Patel Dilipbhai Manibhai,5296,BJP,59,M,GEN
GUJARAT,BANASKANTHA,4/30/2014,Chaudhry Haribhai Parthibhai,4570,BJP,59,M,GEN
GUJARAT,BARDOLI,4/30/2014,Parbhubhai Nagarbhai Vasava,7303,BJP,44,M,ST
GUJARAT,BHARUCH,4/30/2014,Mansukhbhai Dhanjibhai Vasava,4581,BJP,56,M,GEN
GUJARAT,BHAVNAGAR,4/30/2014,Shyal Bhartiben Dhirubhai,5309,BJP,50,F,GEN
GUJARAT,CHHOTA UDAIPUR,4/30/2014,Rathwa Ramsingbhai Patalbhai,4588,BJP,62,M,ST
GUJARAT,DAHOD,4/30/2014,Bhabhor Jasvantsinh Sumanbhai,5311,BJP,47,M,ST
GUJARAT,GANDHINAGAR,4/30/2014,Lal Krishna Advani,4596,BJP,86,M,GEN
GUJARAT,JAMNAGAR,4/30/2014,Maadam Poonamben Hematbhai,5336,BJP,39,F,GEN
GUJARAT,JUNAGADH,4/30/2014,Chudasama Rajeshbhai Naranbhai,4605,BJP,31,M,GEN
GUJARAT,KACHCHH,4/30/2014,Chavda Vinod Lakhmashi,4608,BJP,35,M,SC
GUJARAT,KHEDA,4/30/2014,Chauhan Devusinh Jesingbhai,4615,BJP,49,M,GEN
GUJARAT,MAHESANA,4/30/2014,Patel Jayshreeben Kanubhai,5354,BJP,55,F,GEN
GUJARAT,NAVSARI,4/30/2014,Patil Chandrakant Raghunath,5358,BJP,59,M,GEN
GUJARAT,PANCHMAHAL,4/30/2014,Chauhan Prabhatsinh Pratapsinh,5362,BJP,72,M,GEN
GUJARAT,PATAN,4/30/2014,Vaghela Liladharbhai Khodaji,6500,BJP,80,M,GEN
GUJARAT,PORBANDAR,4/30/2014,Radadiya Vithalbhai Hansrajbhai,6518,BJP,55,M,GEN
GUJARAT,RAJKOT,4/30/2014,Mohanbhai Kalyanjibhai Kundariya,6531,BJP,62,M,GEN
GUJARAT,SABARKANTHA,4/30/2014,Rathod Dipsinh Shankarsinh,6552,BJP,62,M,GEN
GUJARAT,SURAT,4/30/2014,Jardosh Darshnaben Vikrambhai,5315,BJP,53,F,GEN
GUJARAT,SURENDRANAGAR,4/30/2014,Fatepara Devajibhai Govindbhai,6575,BJP,55,M,GEN
GUJARAT,VADODARA  : BYE ELECTION ON 13-09-2014,0000-00-00,Bhatt Ranjanaben Dhananjay,9858,BJP,0,unknown,GEN
GUJARAT,VALSAD,4/30/2014,Dr. K.C.Patel,6597,BJP,65,M,ST
