"ID","state","city","SID"
130,"Assam ","Bilasipara",1
131,"Assam ","Bongaigaon",1
132,"Assam ","Dhekiajuli",1
133,"Assam ","Dhubri",1
134,"Assam ","Dibrugarh",1
135,"Assam ","Digboi",1
136,"Assam ","Diphu",1
137,"Assam ","Dispur",1
138,"Assam ","Duliajan Oil Town",1
139,"Assam ","Gauripur",1
140,"Assam ","Goalpara",1
141,"Assam ","Golaghat",1
142,"Assam ","Guwahati",1
143,"Assam ","Haflong",1
144,"Assam ","Hailakandi",1
145,"Assam ","Hojai",1
146,"Assam ","Jorhat",1
147,"Assam ","Karimganj",1
148,"Assam ","Kokrajhar",1
149,"Assam ","Lanka",1
150,"Assam ","Lumding",1
151,"Assam ","Mangaldoi",1
152,"Assam ","Mankachar",1
153,"Assam ","Margherita",1
154,"Assam ","Mariani",1
155,"Assam ","Marigaon",1
156,"Assam ","Nagaon",1
157,"Assam ","Nalbari",1
158,"Assam ","North Lakhimpur",1
159,"Bihar","Amarpur",18
160,"Bihar","Araria",18
161,"Bihar","Areraj",18
162,"Bihar","Arrah",18
163,"Bihar","Arwal",18
164,"Bihar","Asarganj",18
165,"Bihar","Aurangabad",18
166,"Bihar","Bagaha",18
167,"Bihar","Bahadurganj",18
168,"Bihar","Bairgania",18
169,"Bihar","Bakhtiarpur",18
170,"Bihar","Banka",18
171,"Bihar","Banmankhi Bazar",18
172,"Bihar","Barahiya",18
173,"Bihar","Barauli",18
174,"Bihar","Barbigha",18
175,"Bihar","Barh",18
176,"Bihar","Begusarai",18
177,"Bihar","Behea",18
178,"Bihar","Bettiah",18
179,"Bihar","Bhabua",18
180,"Bihar","Bhagalpur",18
181,"Bihar","Bhojpur",18
182,"Bihar","Bihar Sharif",18
183,"Bihar","Bikramganj",18
184,"Bihar","Bodh Gaya",18
185,"Bihar","Buxar",18
186,"Bihar","Chandan Bara",18
187,"Bihar","Chanpatia",18
188,"Bihar","Chhapra",18
189,"Bihar","Colgong",18
190,"Bihar","Dalsinghsarai",18
191,"Bihar","Darbhanga",18
192,"Bihar","Daudnagar",18
193,"Bihar","Dehri-on-Sone",18
194,"Bihar","Dighwara",18
195,"Bihar","Dumraon",18
196,"Bihar","East Champaran",18
197,"Bihar","Fatwah",18
198,"Bihar","Forbesganj",18
199,"Bihar","Gaya",18
200,"Bihar","Gogri Jamalpur",18
201,"Bihar","Gopalganj",18
202,"Bihar","Hajipur",18
203,"Bihar","Hilsa",18
204,"Bihar","Hisua",18
205,"Bihar","Islampur",18
206,"Bihar","Jagdispur",18
207,"Bihar","Jamalpur",18
208,"Bihar","Jamui",18
209,"Bihar","Jehanabad",18
210,"Bihar","Jhajha",18
211,"Bihar","Jhanjharpur",18
212,"Bihar","Jogabani",18
213,"Bihar","Kaimur",18
214,"Bihar","Kanti",18
215,"Bihar","Katihar",18
216,"Bihar","Khagaria",18
217,"Bihar","Kharagpur",18
218,"Bihar","Kishanganj",18
219,"Bihar","Lakhisarai",18
220,"Bihar","Lalganj",18
221,"Bihar","Madhepura",18
222,"Bihar","Madhubani",18
223,"Bihar","Maharajganj",18
224,"Bihar","Mahnar Bazar",18
225,"Bihar","Makhdumpur",18
226,"Bihar","Maner",18
227,"Bihar","Manihari",18
228,"Bihar","Marhaura",18
229,"Bihar","Masaurhi",18
230,"Bihar","Mirganj",18
231,"Bihar","Mohania",18
232,"Bihar","Mokama",18
233,"Bihar","Mokameh",18
234,"Bihar","Motihari",18
