Candidate,Criminal Cases,Education,ID,Party,Total Assets,Total Liabilities,ConstituencyID
Kaushal Yadav,8,Post Graduate,148,JD(U),154566136,2604969,88
Aditya Narayan,0,Graduate,1015,IND,15770000,0,88
Ajad Geeta Prasad Sharma,0,12th Pass,150,IND,7080000,0,88
Ashok Kumar,1,Literate,621,Rajnaitik Vikalp Party,3116000,0,88
Giriraj Singh,1,Graduate,149,BJP,50054771,0,88
Manish Kumar,2,Graduate,396,IND,1798755,428000,88
Mohammad Jahid Husain,0,Graduate,1017,AITC,1657448,0,88
Parmendra Kumar Yadav,0,12th Pass,623,Bharatiya Ekta Dal,1030800,0,88
Rajballabh Prasad,3,10th Pass,147,RJD,83137973,1387290,88
Rajendra Singh,0,Graduate Professional,1016,AAP,1455858,858745,88
Safdar Ismail,0,Graduate Professional,151,IND,8605000,25000,88
Satish Kumar,0,10th Pass,619,IND,11610000,0,88
Sohail Anwer,0,Literate,153,BSP,415000,85000,88
Sulochana Devi,0,Literate,1014,IND,7275000,800000,88
Surendra Rajvanshi,0,Graduate,152,SP,3385189,0,88
Umakant Rahi,0,Post Graduate,154,Shoshit Samaj Dal,2610034,0,88
Vijay Ram,1,10th Pass,395,Moolniwasi Samaj Party,221500,0,88
M. Aamir Rashadi,1,Others,9496,Rashtriya Ulama Council,2191523,0,474
Arvind Kumar Jaiswal,0,Graduate Professional,9212,INC,5587537,0,474
Durg Vijay Yadav,0,Graduate Professional,9492,Bahujan Mukti Party,49750,0,474
Kiran Sharma,0,8th Pass,9487,Bhartiya Shakti Chetna Party,3509407,325000,474
Madan,0,10th Pass,9494,AITC,3955000,0,474
Mulayam Singh Yadav,0,Post Graduate,9210,SP,159671544,0,474
Prakash Chandra,0,10th Pass,9491,Sanatan Sanskriti Raksha Dal,90300,0,474
Pramod Singh,0,12th Pass,9497,IND,1690000,0,474
Rajdhari,0,10th Pass,9499,Moolniwasi Samaj Party,36266,0,474
Rajesh Yadav,1,Graduate Professional,9211,AAP,2662066,0,474
Ram Singh Chauhan,2,8th Pass,9490,IND,244000,0,474
Ramakant Yadav,5,10th Pass,9209,BJP,28145423,0,474
Sanjay Chauhan,1,Post Graduate,9488,IND,1292500,294000,474
Sanjay Kumar Chaturvedi,0,Graduate,9495,Indian Savarn Samaj Party,1636500,0,474
Santosh Kumar Gautam,0,Others,9489,Manavtawadi Samaj Party,511500,195000,474
Shah Alam Alias Guddu Jamali,0,Post Graduate,9208,BSP,702918903,41500000,474
Shamshad Ahmad,0,Literate,9482,IND,150400,0,474
Sugriv Chauhan,0,10th Pass,9483,IND,2370000,0,474
(Kuppal)G.Devadoss,0,8th Pass,6912,IND,3630000,850000,368
A. Irudayadass,0,Graduate,6929,IND,551640,0,368
A. Jaiganesh,0,Graduate,6913,Lok Satta Party,5855905,0,368
A. Magesh,0,Graduate,6943,IND,6894841,66500,368
B. Kumar Sri Sri,0,Not Given,6939,IND,50000,0,368
Bhavani Janakiram,0,Post Graduate,6940,IND,425000,350000,368
Colonel Kadar Basha,0,Others,6916,IND,9991131,0,368
Dr. J. Jayavardhan,0,Graduate Professional,6917,AIADMK,33959072,10981100,368
Ganesan S,0,Graduate Professional,6910,SUCI(C),32901000,0,368
J.S. Mahalingam,0,Graduate Professional,6931,IND,142321,0,368
Jahir Hussain. M,0,10th Pass,6926,AAP,15040363,1332793,368
Joseph Gunasekar,0,Graduate Professional,6948,IND,2325000,0,368
K. Mani,0,5th Pass,6933,JD(U),2723000,0,368
K.R.Ramaswamy@Traffic Ramaswamy,0,Others,6911,IND,29530,0,368
Kanthavel D,0,8th Pass,6934,IND,246000,0,368
La.Ganesan,0,12th Pass,6914,BJP,307000,0,368
Loganathan,0,5th Pass,6928,IND,205500,0,368
M. Arumugam,0,8th Pass,6932,IND,374000,0,368
M. Jayaraman,0,Graduate,6950,IND,634836,0,368
Pon. Siva Kumar,0,Graduate,6944,IND,810500,470000,368
R. Kandasamy@Babu,0,8th Pass,6949,Ambedkar Peoples Movement,351747,0,368
R. Ravichandran,0,5th Pass,6920,IND,660000,0,368
Rajini Nivetha,0,12th Pass,6919,IND,151457,0,368
S. Balamurali,0,Graduate,6935,IND,289100,0,368
S. Balu,0,Graduate Professional,6915,IND,845000,263732,368
S. Charumathi,0,8th Pass,6945,IND,850000,0,368
S. Devadoss,0,12th Pass,6924,IND,25000,0,368
S. Parthiban,0,10th Pass,6927,IND,14805512,0,368
S. Pragasam,0,Graduate Professional,6941,IND,10902944,0,368
S. Rajeshwari,0,5th Pass,6936,IND,0,0,368
S. Seethalakshmi,0,Doctorate,6925,Tamil Nadu Makkal Congress,4180000,1900000,368
S. Sesu Raj,0,Others,6946,IND,500000,50000,368
S. Veeramani,0,Post Graduate,6937,IND,2242000,0,368
S.S.Radhakrishnan,0,Post Graduate,6922,IND,42980572,1359520,368
S.V. Ramani,0,Graduate,6938,INC,1598751,255309,368
Shankar,0,Not Given,6947,IND,450000,0,368
T. Dhanasekar,0,Graduate Professional,6918,National Organisation Congress,3060000,0,368
T. Ponnusamy,0,8th Pass,6942,IND,247855,0,368
T.K. Ramajayam,0,Graduate Professional,6951,IND,5312700,0,368
T.K.S.Elangovan,0,Post Graduate,6930,DMK,20482886,675903,368
Thangaraj,0,Graduate,6923,IND,25500,0,368
V. Balaji,0,12th Pass,6921,BSP,443000,0,368
(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),0,Graduate Professional,74,BJP,44357368,0,485
Abdul Salam,0,Illiterate,8301,IND,2170500,0,485
Anup Negi,0,12th Pass,8586,IND,6930000,0,485
Bhupal Singh Gusain(Ukd),0,Graduate,8583,IND,1859000,430000,485
Dheer Singh Bisht,0,12th Pass,8300,BSP,7746000,150000,485
Harak Singh Rawat,4,Doctorate,8585,INC,26493906,0,485
Indresh Maikhuri,0,Post Graduate,7989,CPI(ML)L,172487,0,485
Narendra Singh Negi,0,Post Graduate,7991,CPI,3273000,125000,485
Rakesh Singh,0,Doctorate,7990,AAP,1044806,0,485
Renu Agarwal,0,Post Graduate,8298,IND,8387844,510000,485
A Biju,0,8th Pass,1906,IND,564425,175000,208
Albin M U,0,12th Pass,1901,IND,900,0,208
K Biju,3,8th Pass,1905,IND,73500,0,208
K S Velayudhan,0,10th Pass,1903,IND,1211050,0,208
Krishnan Eranhikkal,0,12th Pass,1902,SDPI,903301,20000,208
Krishnankutty V,0,10th Pass,1904,IND,146988,6000,208
P.K.Biju,0,Post Graduate,1900,CPI(M),3231047,341749,208
Premakumari,1,Others,963,BSP,32000,158000,208
R Biju,0,10th Pass,1907,IND,1500,0,208
Shajumon Vattekad,0,10th Pass,957,BJP,1772801,32653,208
Sheeba K A,0,Post Graduate,962,INC,2903410,1310606,208
Vijayan Ambalakkad,2,10th Pass,1908,IND,825077,0,208
A N Radhakrishnan,0,Graduate,8,BJP,7813475,0,211
Anil Kumar,0,8th Pass,1928,IND,72000,0,211
Anitha Prathap,0,Graduate Professional,719,AAP,203330000,0,211
Bhaskaran K V,1,Graduate,717,IND,4640900,350000,211
Christy Fernandez,0,Doctorate,302,IND,27176949,2620749,211
Densil Mendez,0,10th Pass,1931,JD(U),2634109,169614,211
Juno John Baby,0,Others,1927,IND,934581,0,211
K C Karthikeyan,0,10th Pass,1930,BSP,5180540,700000,211
K.V. Thomas,0,Post Graduate,6,INC,11848550,522352,211
Kishore,0,10th Pass,1932,IND,90000,0,211
Krishnankutty M.K.,0,10th Pass,304,CPI(ML) Red star,879121,40000,211
N J Pious,0,Graduate,303,IND,3722750,150000,211
P.D. Chandrabhanu,0,10th Pass,721,Socialist Republican Party,8306000,884000,211
Radhakrishnan P T,0,Graduate Professional,1933,IND,3488000,0,211
Rajaneesh Babu,0,10th Pass,1934,IND,1000,0,211
Zulfikal Ali A A,4,Others,720,SDPI,557800,0,211
A Nelson,0,12th Pass,4337,IND,37322,0,393
Al Sivagnanam,0,5th Pass,4339,IND,69480,0,393
Arimazham Thiyagi Subramanian Muthuraja M,0,10th Pass,7476,IND,482295,0,393
Balakrishnan P,0,5th Pass,7480,IND,38400,0,393
Balu S,0,8th Pass,7472,Tamil Nadu Makkal Congress,323000,0,393
Dhurai Raaj Subha,0,Others,7470,DMK,119200359,16880062,393
Gunasekaran P,0,10th Pass,7475,IND,0,0,393
H Raja,0,Graduate Professional,3960,BJP,9313714,2094707,393
K.Kalaimani,0,8th Pass,3838,Makkal Manadu Katchi,447413,200000,393
Karthikarajan T,0,10th Pass,7474,IND,603600,0,393
Karti P Chidambaram,0,Graduate Professional,7468,INC,596685048,92587423,393
Krishnan S,0,Graduate Professional,7469,CPI,7153000,1656914,393
Lenin M,0,12th Pass,7485,IND,148120,0,393
M.Saravanan,0,12th Pass,3837,IND,3870000,0,393
Megaraj Mallar,0,8th Pass,7482,IND,0,0,393
Murugan P,1,12th Pass,7481,IND,230000,60000,393
Natchiappan Sp,0,5th Pass,7478,IND,51000,0,393
Palani S,0,10th Pass,7479,IND,236000,0,393
Pr Senthilnathan,0,Graduate Professional,3961,AIADMK,49050835,7459581,393
Radhakrishnan A,0,12th Pass,7483,IND,511000,335000,393
Raja A,0,Graduate,7484,IND,309500,0,393
Rajasekar.S @ S.R.Thevar,5,8th Pass,4335,Desiya Forward Bloc,16012209,1437300,393
S Periyakaruppan,0,10th Pass,4054,IND,4190000,1566338,393
Selvaraj A,0,8th Pass,7477,IND,185400,0,393
Thamilarima S,0,Graduate,7471,AAP,41412999,0,393
V Rakkamuthu,0,Illiterate,4056,BSP,10000,0,393
Velladhurai A,0,8th Pass,7473,Ezhuchi Tamilargal Munnetra Kazhagam,2397000,0,393
A P Jithender Reddy,4,Graduate,4536,TRS,140831576,1386969,12
Dr A Chandra Sekhar,0,Post Graduate,4538,IND,7600000,500000,12
Dr. Janardhan Reddy Nagam,8,Graduate Professional,7923,BJP,46883202,0,12
H.A. Rahman,3,Graduate,7926,Yuvajana Sramika Rythu Congress Party,45000,0,12
Ibrahim Syed,7,12th Pass,7927,IND,310625000,56406000,12
Jaipal Reddy Sudini,0,Post Graduate,7924,INC,99602120,4600000,12
Kadire Krishna,0,Doctorate,7922,BSP,390000,100000,12
S. Shiva Shankar,0,Post Graduate,7928,IND,1214200,0,12
S.R.Premaiah,0,12th Pass,7925,Pyramid Party of India,611000,0,12
A Pandian,0,12th Pass,901,AIFB,859410,350000,531
Anita Mondal,1,Graduate,584,AITC,5471073,6000,531
Bishnu Pada Ray,1,Graduate,585,BJP,5658980,175115,531
C G Saji Kumar,0,12th Pass,904,IND,50000,0,531
Gaur Chandra Majumder,0,Graduate,124,BSP,3192819,688689,531
K.G.Das,0,12th Pass,900,CPI(M),4221392,0,531
Kuldeep Rai Sharma,0,Graduate Professional,122,INC,31594826,5034619,531
N K P Nair,0,10th Pass,470,CPI(ML)L,5287805,43642,531
N Kannan,0,8th Pass,902,IND,32400,549313,531
Prakash Minj,0,Post Graduate,586,IND,308000,0,531
R.S.Uma Bharatthy,0,Post Graduate,123,NCP,1380999,253000,531
Raghubir Singh,1,8th Pass,907,SP,1128697,20000,531
Sanjay Meshack,0,10th Pass,469,AAP,57497526,633088,531
Saravanan,0,Graduate,583,IND,236000,0,531
V V Khalid,0,8th Pass,471,IND,235000,0,531
A Prasad,0,10th Pass,1105,IND,840000,0,192
B.V.Venkatagiriyappa,0,Graduate,3788,IND,100000,320000,192
Beeda Srinivas N,0,Literate,3785,IND,1356000,600000,192
D.M.Ambareesha,0,Post Graduate,2619,BSP,145000,0,192
Dr. C Mohan,0,Graduate Professional,1102,IND,11910000,0,192
Em. Narayanaswamy,0,Graduate,1217,BJP,22377047,7984143,192
G.N.Venkatesh,0,Graduate Professional,3786,IND,545000,80000,192
H.N.Narayanaswamy,0,10th Pass,3792,IND,335000,100000,192
H.V.Anjappa,0,Post Graduate,3796,IND,5141000,0,192
K H Muniyappa,0,Graduate Professional,126,INC,184663000,27863000,192
K Narendra Babu,0,Post Graduate,1104,IND,200000,0,192
K.H.Madhusoodan,0,12th Pass,3791,IND,235000,0,192
Kolar Kesava,7,Graduate,2616,JD(S),168319791,75522284,192
Kotiganahalli Ramaiah,0,12th Pass,2618,AAP,7724963,1285958,192
M.Muniyappa,0,8th Pass,3790,IND,2060000,0,192
M.S.Narayanaswamy,0,10th Pass,3793,IND,1000,0,192
N.Venkatesh,0,10th Pass,3787,IND,6744000,1000000,192
Narayanaswamy,0,Literate,3794,IND,401390,0,192
R.Ravindra Kumar,0,Graduate,3797,Bharatiya Dr. B.R.Ambedkar Janta Party,10601000,8332000,192
V Muniswamy,0,Illiterate,1101,SP,403964,0,192
V.Srinivasa,0,12th Pass,1106,IND,112000,0,192
Vinayaka Prasad.H.N,0,12th Pass,3789,IND,110000,0,192
A Sampath,1,Doctorate,340,CPI(M),17791149,1421392,218
Adv. Chirayinkeezhu Gopinathan,0,Graduate Professional,1976,RPI(A),920662,100000,218
Adv. M. R. Sarin,0,Graduate Professional,1975,JD(U),790325,87000,218
Adv.Bindhu Krishna,2,Post Graduate,694,INC,3764729,853967,218
Anil Kumar N S,1,12th Pass,695,BSP,433000,0,218
Das K Varkala,2,10th Pass,696,IND,13633,39000,218
Girija Kumary,0,12th Pass,341,BJP,3279941,146000,218
Smt. Priya K S,0,Post Graduate,344,Welfare Party Of India,4530512,0,218
Sri. Hariharan K S,0,Graduate Professional,2506,IND,2401400,0,218
Sri. Vakkom G Ajith,0,12th Pass,1972,SHS,1120000,0,218
Sri.Manoj Kumar,2,Others,342,SDPI,284000,199789,218
Sri.Sambath Anilkumar,0,8th Pass,1971,IND,3262,17000,218
Sunilkrishnan,2,Post Graduate,339,IND,5310000,0,218
Suresh,0,8th Pass,1974,IND,2360000,0,218
Suresh,0,10th Pass,1977,IND,56000,0,218
Vivekanandan,0,8th Pass,1973,IND,4652,0,218
A Thavamani,0,Illiterate,7501,BSP,51000,0,395
A.Kannan,0,8th Pass,7496,IND,262590,0,395
B.Vikraman,0,10th Pass,3841,CPI(M),2591109,0,395
Bharathi Kannamma,0,Graduate,3839,IND,105000,0,395
D Sivamuthu Kumar,2,Post Graduate,7502,DMDK,12866994,4084000,395
G.Kannan,0,Graduate,7495,IND,101000,0,395
G.Maria Joseph Xaviour,0,Post Graduate,3842,IND,7492013,0,395
J.Manikandeswaran,0,Post Graduate,7491,IND,488000,40000,395
K.K.Ramesh,0,Post Graduate,3840,IND,315000,0,395
K.Raja,2,8th Pass,4330,Desiya Forward Bloc,6137145,1353026,395
K.Thangapandi,0,Illiterate,7492,IND,101000,0,395
M Venkatesan,0,Post Graduate,7487,IND,2213164,620397,395
M.Gopalakrishnan,6,10th Pass,4332,IND,3798200,1040000,395
M.Kamacis,0,Graduate Professional,4328,AAP,4494623,966227,395
M.Meenakshisundaram,0,Post Graduate,7490,IND,4235311,80000,395
M.Mohammed Ali,0,5th Pass,4331,Samata Party,245086,0,395
N Alagu Muthu Velayudam,0,10th Pass,7499,IND,7200000,2100000,395
P.Chandrabose,2,Literate,4326,IND,905000,284000,395
P.Gopalakrishnan,0,Graduate,7493,IND,72803120,7406426,395
P.Jeyakumar,0,Graduate Professional,7486,IND,1003650,260000,395
P.Ramasubramanian,0,10th Pass,4333,IND,3742169,3012000,395
R.Gopalakrishnan,0,Graduate,3965,AIADMK,72503060,7406366,395
S.Arivudainambi,0,Graduate Professional,7498,IND,261000,0,395
S.Ganesan,0,10th Pass,7497,IND,230000,0,395
S.Manickavasagam,0,Illiterate,4334,IND,20000,0,395
T.N.Bharath Nachiappan,0,Post Graduate,3964,INC,5559753,0,395
T.Ramasamy,0,5th Pass,7489,IND,118530,0,395
V Velusamy,9,Graduate Professional,7500,DMK,38731336,3600000,395
V.Andichamy,0,Graduate Professional,4327,IND,441200,0,395
V.G.Ramdoss,0,Graduate Professional,7488,IND,77071122,6290631,395
V.Karuppaiah,0,5th Pass,7494,IND,67000,0,395
A Vijayaraghavan,0,Graduate Professional,173,CPI(M),5757792,152305,204
K P Ratheesh,0,Others,1868,AAP,737252,45000,204
M .K Raghavan,0,Graduate,961,INC,6164901,1558128,204
M Raghavan,0,10th Pass,1867,IND,20493829,0,204
Muhammed Riyas,0,10th Pass,1870,IND,441500,0,204
Musthafa Kommeri,1,Graduate,272,SDPI,1489200,0,204
Padmanabhan .C.K.,0,10th Pass,268,BJP,9306000,400000,204
Prathap Kumar. N. P,0,Graduate Professional,271,IND,4356708,100000,204
Trichur Nazeer,0,10th Pass,270,IND,362347,0,204
V M Raghavan,0,10th Pass,1865,IND,13000,0,204
Velayudhan K. P.,0,10th Pass,1860,BSP,3539300,500000,204
Vijayaraghavan,0,8th Pass,1862,IND,2006500,0,204
Vijayaraghavan .K,0,8th Pass,1871,IND,2006500,0,204
A. Devadas,0,10th Pass,397,SUCI(C),1154658,0,183
B Sreeramulu,8,Graduate,2162,BJP,151392844,4050947,183
Doddamani Prasad,1,Graduate Professional,2158,CPI(ML)L,16043,0,183
G Nataraja,0,Others,2156,Karunaadu Party,885000,0,183
K Raghavendra,1,10th Pass,2157,Pyramid Party of India,20000,0,183
Malagi Shivakumar Giriyappa,0,Post Graduate,2160,AAP,8580500,0,183
N B Krishnappa Nayaka,0,Graduate Professional,1188,IND,169500,0,183
N R Mallaiah Swamy,0,12th Pass,1189,IND,1333000,0,183
N Y Hanumantappa,0,Post Graduate,2161,INC,22848300,0,183
R. Ravinayaka,2,12th Pass,2163,JD(S),5286536,273603,183
Ramudu,0,5th Pass,2159,BSP,0,0,183
S Bheemappa,0,8th Pass,2164,CPI(ML) Red star,18900,0,183
A. Josekutty,0,10th Pass,336,IND,545117,224328,217
A.K.Salahudeen,1,12th Pass,700,SDPI,6562365,0,217
Adv.S.Prahladan,0,Graduate Professional,699,BSP,21645000,0,217
K. Bhaskaran,1,Graduate,334,IND,6313287,108453,217
M. Baby,0,10th Pass,2489,IND,1871596,0,217
M.A. Baby,2,Graduate,337,CPI(M),6430619,625000,217
N.K.Premachandran,1,Graduate Professional,14,RSP,16228989,3114638,217
P.M. Velayudhan,0,10th Pass,335,BJP,5927000,750000,217
Premachandran,1,10th Pass,2488,IND,2605267,0,217
Premachandran,0,10th Pass,338,IND,71500,0,217
A. P. Shamseer,0,Literate,1850,IND,55620,0,202
A.M.Smitha,0,Graduate,1847,CPI(ML) Red star,22000,0,202
Adv.A.N.Shamseer,0,Graduate Professional,169,CPI(M),1330825,0,202
Ali Akbar,0,12th Pass,1846,AAP,4448946,2674831,202
Attuveppil Kunhikkannan,0,5th Pass,1848,IND,452079,19000,202
Mullappally Ramachandran,0,Post Graduate,260,INC,9225000,2160000,202
P.Abdul Hameed Master,1,Graduate,264,SDPI,4988654,0,202
P.Kumarankutty,0,Graduate Professional,1843,IND,44347759,0,202
Saseendran,0,5th Pass,1845,BSP,3271000,250000,202
Sharafudheen,0,12th Pass,263,IND,1119368,0,202
V.K. Sajeeva,2,Graduate Professional,955,BJP,2534579,1125903,202
A. Raghunath Varma,0,Post Graduate,117,IND,270800,0,322
Ali Kishor Patnaik,1,Graduate,832,CPI(M),7450333,0,322
Aswini Kumar Padhy,0,Graduate Professional,1167,BSP,392889,32000,322
Bidhan Chandra Panda,0,10th Pass,836,Samata Kranti Dal,3551085,950000,322
Chandra Sekhar Sahu,0,Graduate Professional,834,INC,22114000,642430,322
Dhanada Kanta Mishra,0,Doctorate,831,AAP,10787163,5662400,322
K. Shyambabu Subudhi,0,12th Pass,830,IND,16000000,0,322
Manoj Choudhury,0,10th Pass,835,AITC,163000,0,322
Rama Chandra Panda,0,Post Graduate,99,BJP,5552220,0,322
Sidhant Mohapatra,0,Graduate,118,BJD,16462430,1183828,322
Srihari Patanaik,0,12th Pass,833,IND,976119,723600,322
A. Shadhick Batcha,0,Post Graduate,4341,IND,752760,700000,387
Anbalagan.M,0,10th Pass,7443,IND,1276450,190000,387
Anwar Deen.S,1,Literate,7439,Samata Party,427101,0,387
Arunachalam.A,0,Post Graduate,7442,IND,570200,0,387
Asraf Ali.M,0,5th Pass,7444,IND,1736907,510000,387
Bala Krishnan.K,0,12th Pass,7450,IND,67267,0,387
Dineshkumar.G,0,Post Graduate,7452,IND,6379498,1773000,387
Eswaran.J,0,12th Pass,7446,IND,41000,0,387
Jothi.P,0,Not Given,7441,SP,40391000,2050000,387
Kumar.P S/O Palaniappan,0,Graduate,7455,IND,1090000,155000,387
M. Karunakaran,0,Post Graduate,4344,Lok Satta Party,7319600,0,387
M.Badhusha,0,Literate,4044,IND,815000,0,387
M.Mohandass,0,Graduate,3951,IND,21687000,2745000,387
Mu.Anbhalagan,10,Post Graduate,3949,DMK,78217356,12964048,387
P. Asaithambi,0,Graduate,4343,CPI(ML)L,1000,0,387
P.Kumar S/O Palanivel,0,Graduate Professional,3952,AIADMK,18522597,1917891,387
Palanivel.P,0,Post Graduate,7451,IND,24953196,16407645,387
Ragavan. R,2,12th Pass,7445,IND,1730000,150000,387
Ravi.P,1,Post Graduate,7440,AAP,137774,81869,387
S.Natarajan,0,12th Pass,4043,BSP,6585500,1050000,387
S.Sridhar,0,Post Graduate,4045,CPI(M),199925,89859,387
Sarubala R Thondaiman,0,Post Graduate,7437,INC,570772432,1513575,387
Sridevi.S,0,12th Pass,7447,IND,735000,0,387
Sundarraj.S,0,Graduate,7454,IND,2661024,0,387
"Thaddaus Fernandez,",0,Post Graduate,7453,IND,5841080,0,387
Veeramalai.A,0,12th Pass,7448,IND,3356000,0,387
Vijayakumar.P,0,12th Pass,7449,IND,1072802,158660,387
Vijaykumar.Amg,0,12th Pass,7438,DMDK,119179136,17355409,387
Y.Larance,0,Graduate,3948,IND,3197000,250000,387
A.Arunmozhithevan,9,Graduate Professional,3955,AIADMK,15765250,0,389
A.Baskar,0,10th Pass,4048,IND,1100000,0,389
Alagiri.S,0,Graduate,6310,INC,17918014,51740512,389
Anandharajan.S,0,Post Graduate,6319,IND,64850,17652,389
Jaishankar.P.,0,5th Pass,6315,IND,805979,900000,389
Jayasankar.C.R,0,Post Graduate,6313,DMDK,355033000,267451000,389
K.Balasubramanian,0,Graduate,3957,CPI,5998936,0,389
Nandagopalakrishnan.K.,0,Graduate Professional,6312,DMK,41858537,1162495,389
Radhakrishnan.K.R,0,8th Pass,6321,IND,1645000,271000,389
Rajkumar.V,0,Graduate,6316,IND,368000,0,389
S.Girija,0,Post Graduate,3835,IND,370000,0,389
Senguttuvan.R,0,5th Pass,6318,IND,408500,0,389
Senthilmurugan.S,0,Graduate Professional,6311,BSP,517700,0,389
Shruti Mishra,0,Graduate Professional,6320,Union Party of India,5205760,0,389
Syed Mohideen.A.G.,0,Graduate,6314,AAP,23090724,3340000,389
T.Sivagnanasambandan,0,Post Graduate,3834,IND,8496700,30000,389
Thirunavukkarasu,0,Post Graduate,6317,IND,15000,0,389
A.Ganesan,0,8th Pass,6284,BSP,2110000,0,374
A.K.Moorthy,0,Post Graduate,6292,PMK,55271210,17008423,374
A.Mahadevan,0,12th Pass,6300,IND,577000,0,374
H.Senthilkumar,0,10th Pass,6297,IND,5287542,0,374
K.Elumalai,0,10th Pass,6295,IND,490500,0,374
K.Moorthy,1,12th Pass,6303,IND,112000,0,374
M.Durairaj,0,Post Graduate,6299,IND,350000,0,374
M.K.Vishnu Prasad,1,Graduate Professional,6289,INC,110571761,23691877,374
M.Munusamy,0,8th Pass,6302,IND,296000,0,374
P.Loganathan,0,8th Pass,6293,IND,1213000,0,374
R.Saraswathi,0,12th Pass,6296,IND,375000,15000,374
R.Sivanandam,10,10th Pass,6285,DMK,130816910,64526381,374
S.Elumalai,0,5th Pass,6294,IND,6362653,0,374
S.Manikandan,0,12th Pass,6301,IND,165324,0,374
S.Ramamoorthy,0,10th Pass,6305,IND,230000,0,374
S.Senthilnathan,0,Post Graduate,6298,IND,6676752,1837784,374
V.Anna Venkatesh,0,Graduate,6290,Anaithindia Dravidar Samudaya Munnetra Kazhag,835000,0,374
V.Elumalai,0,Graduate Professional,6283,AIADMK,70492462,25000,374
V.Moorthy,0,5th Pass,6304,IND,380500,0,374
A.Govindasamy,0,8th Pass,6356,IND,1891000,300000,376
A.K.Perumal,0,Post Graduate,6357,Jharkhand Mukti Morcha (Ulgulan),5302255,0,376
A.Shajahan,0,Graduate Professional,6358,IND,4402000,325000,376
Devadass. R,1,Graduate Professional,6359,INC,76577515,6568797,376
G.Bojan,0,8th Pass,4287,IND,422000,0,376
K. Kamaraj,0,Post Graduate,3934,AIADMK,35459256,544099,376
K. Sekar,0,10th Pass,3932,IND,52000,0,376
K.Mohammed Yasin,0,Others,6373,AAP,2457180,312000,376
K.Vellaiyan,0,5th Pass,4289,IND,2575000,295000,376
K.Vetrivel,0,12th Pass,6374,IND,1003333,931833,376
Kamaraj. R,0,10th Pass,6360,IND,268440,0,376
M.P.Mannan,0,Post Graduate,6370,IND,567061,0,376
P.Narayansamy,1,10th Pass,6369,IND,1714800,225000,376
R.Manimaran,0,Post Graduate,6366,DMK,23653826,1121682,376
R.Pandiyan,0,10th Pass,6368,IND,1671563,0,376
S.Lakshmanan,0,8th Pass,4288,IND,575000,0,376
S.Madhaiyan,0,Illiterate,6365,IND,550000,44000,376
S.Sakthivel,0,Others,6362,BSP,1355000,0,376
T.Ramachandiran,0,5th Pass,6364,IND,52095,0,376
V.P.Eswaran,0,Post Graduate,4285,DMDK,98021861,5000000,376
Varadan. M,0,Post Graduate,3936,IND,1531000,975000,376
Vennila. K,0,10th Pass,7417,IND,2390900,200000,376
A.Hamid Sh. Habib,3,8th Pass,5202,IND,63500,0,250
Amrishbhai Rasiklal Patel,21,8th Pass,5206,INC,504197656,142934079,250
Ansari Nihal Ah Md Harun,0,10th Pass,5196,AAP,36566800,6000000,250
Bhamare Subhash Ramrao,0,Post Graduate,5203,BJP,125833320,660757,250
Deore Mahendra Trambak,0,Graduate,5198,IND,1940029,0,250
Dr Bhupesh Prakash Patil,0,Graduate Professional,5195,IND,450000,60000,250
Eshi Yogesh Yashwant,0,10th Pass,5211,BSP,1339900,0,250
Gazi Atejad,0,10th Pass,5200,IND,33000,0,250
Jafar Bapuji Pathan,0,Literate,5209,IND,1415000,0,250
Jagdane Ramesh Soma,0,Literate,5217,Maharashtra Parivartan Sena (T),150000,0,250
Mahemood Bhaijaan,0,Graduate Professional,5218,Awami Vikas Party,964000,235000,250
Mo. Ismile Jumman,1,5th Pass,5221,IND,79000,0,250
Nihal Ah A Reheman,0,10th Pass,5220,SP,28605000,0,250
Pinjari Jainuddin Husain,0,10th Pass,5210,IND,1092000,225000,250
Ramesh Ragho More,0,10th Pass,5208,IND,5704000,0,250
Sambhaji Devidas Patil,0,8th Pass,5213,Bahujan Mukti Party,932080,0,250
Sayyad Mo. Kayam,0,8th Pass,5214,IND,66000,0,250
Sayyad Salim Sayyad Alim,0,12th Pass,5199,IND,109000,0,250
Shaikh Mukhatar Ah. Mo. Qasim,0,Graduate Professional,5204,Welfare Party Of India,3718797,0,250
A.K. Aggarwal,1,10th Pass,9741,Agar Jan Party,14058166,0,482
Abhimanyu Singh Patel,0,12th Pass,9756,Bahujan Mukti Party,2445000,139257,482
Ahmed Sohel Siddiqui,0,12th Pass,9750,IND,535403,0,482
Ajay Rai,9,Graduate,9205,INC,8721893,0,482
Arun,0,12th Pass,9757,Bhartiya Shakti Chetna Party,6172000,0,482
Arvind Kejriwal,7,Graduate Professional,9204,AAP,21366668,4100000,482
Bachchan Prasad Yadav,0,Graduate Professional,9758,IND,416000,53945,482
Bachchelal,0,10th Pass,9774,Lokpriya Samaj Party,6410519,0,482
Baseer Kinnar,0,Illiterate,9745,IND,2782158,0,482
Devi Prasad Nand,0,10th Pass,9747,Moulik Adhikar Party,50000,0,482
Ghanashyam,0,Post Graduate,9764,IND,1595666,0,482
Hari Lal,0,10th Pass,9751,Rastriya Insaaf Party,262100,0,482
