Candidate,Criminal Cases,Education,ID,Party,Total Assets,Total Liabilities,ConstituencyID
Dev Kumar Choudhary,0,Graduate Professional,599,IND,5087170,800000,98
Dhananjay Kishore,0,Graduate Professional,389,AAP,6509560,6102,98
Hari Manjhi,1,8th Pass,155,BJP,10184120,2000000,98
Indra Deo Choudhary,0,10th Pass,390,Bahujan Mukti Party,507000,10000,98
Jitan Ram Manjhi,0,Graduate,33,JD(U),2360142,13109,98
Kapil Choudhary,0,12th Pass,386,AITC,1606000,0,98
Mamta Kumari,0,12th Pass,387,SP,4195976,5454,98
Niranjan Kumar,2,Graduate,156,CPI(ML)L,140000,1384,98
Ramji Manjhi,0,Graduate,32,RJD,11115000,0,98
Shiv Kumar Kant,0,Graduate,388,BSP,5232500,200000,98
Shiv Shankar Kumar,0,Graduate,384,Bharat Bhrashtachar Mitao Party,1067800,0,98
Ashok Kumar,0,10th Pass,5114,IND,1565000,0,348
Dhanraj Bairwa,0,5th Pass,5113,Socialist Party (India),300000,0,348
G.R.Barua,0,Post Graduate,5110,BSP,24397589,278400,348
Ghanshyam,0,10th Pass,5109,AAP,2100191,100000,348
Kamal Singh,0,8th Pass,4241,AITC,637000,0,348
Kanchan Bai,0,Illiterate,5116,IND,45000,0,348
Kishore Kumar,0,Literate,5115,IND,3104400,0,348
Lakkhiram,0,Post Graduate,4239,INC,2915000,0,348
Laxmikant,0,Graduate,5108,IND,51000,0,348
Manoj Rajoria,0,Post Graduate,5111,BJP,28636113,3277324,348
Phoolsingh,0,8th Pass,4242,Jago Party,1268000,0,348
Ram Singh,0,Graduate,5117,NPP,862500,0,348
Ramesh,0,12th Pass,5112,Bharatiya Yuva Shakti,835000,0,348
Shrelal Khare,0,Literate,4240,Jai Maha Bharath Party,580000,0,348
Ashok Kumar Shaw,0,12th Pass,9801,IND,102611,0,509
Asok Kumar Samanta,0,Post Graduate,9370,SUCI(C),2570063,0,509
Dr. Sarup Prasad Ghosh,0,Doctorate,9373,BJP,4803472,0,509
Hasibul Islam Mir,0,10th Pass,9379,Rashtriya Janasachetan Party (R.J.P.),333000,0,509
Kartik Kayal,0,Graduate,9375,IND,325000,0,509
Mangal Kumar Sardar,0,Graduate,9374,IND,145500,0,509
Pintu Sanpui,0,Graduate,9376,Bahujan Mukti Party,5000,0,509
Samir Aich,0,Others,9371,INC,8963371,578925,509
Sandhya Mandal,0,Graduate,9369,BSP,7151000,0,509
Shamali Das,0,8th Pass,9378,IND,20000060000,0,509
Sugata Bose,0,Doctorate,9377,AITC,46315770,0,509
Sujan Chakraborty,1,Doctorate,9372,CPI(M),4778989,0,509
Susanta Kumar Naskar,0,10th Pass,9800,IND,2359383,0,509
Ashok Kumar.A,0,8th Pass,7068,IND,349000,0,372
Ashok Kumar.K,3,10th Pass,7060,AIADMK,1176436,0,372
Chanbasha.M,0,5th Pass,7061,BSP,1106000,0,372
Chellakumar. Dr. A,1,Graduate Professional,7063,INC,52280762,29502704,372
