,state_x,Constituency,Date Of Election,name_x,Candidate ID,Party,Age,Sex,Category,score,Unnamed: 0,id,name_y,state_y,designation
0,ANDHRA PRADESH,GUNTUR,5/7/2014,Jayadev Galla,8183,TDP,48,M,GEN,0.7216602564,1906,2110,Jayadev Galla,Andhra Pradesh,Managing Director
1,WEST BENGAL,DUM DUM,5/12/2014,Saugata Roy,9356,AITC,66,M,GEN,0.5365953445,1330,665,Sougata Ray,West Bengal,Director
