uuid,did,cid,name,cname,designation
3402,2853,27419,Hemant Kanoria,Texmaco Rail & Engineering Ltd,Additional Director
3403,2854,2787,Hemant Kanoria,SREI Infrastructure Finance Ltd,Chairman & Managing Director
3404,2855,28141,Hemant Kanoria,Viom Networks Ltd,
3405,2856,395,Hemant Luthra,Mahindra Ugine Steel Company Ltd,Director
3406,2857,4353,Hemant Modi,JMC Projects (India) Ltd,Vice Chairman & M.D.
3407,2858,4162,Hemant Sharma,Jindal Poly Films Ltd,Whole-time Director
3408,2859,19969,Hemant Sheth,Intas Pharmaceuticals Ltd,Director
3409,2860,2915,Hemant V Udeshi,Jayant Agro Organics Ltd,Managing Director
3410,2861,614,Henning Kagermann,Wipro Ltd,Director
3411,2862,119,Henri Schloemer,Clariant Chemicals (India) Ltd,Director
3412,2863,37,Henrik Lange,SKF India Ltd,Director
3413,2864,7902,Heta Mehta,Parekh Aluminex Ltd,Company Secretary
3414,2865,2378,Hetal Gogri Gala,Aarti Industries Ltd,Whole-time Director
3415,2866,16486,Heung Soo Lheem,Hyundai Motor India Ltd,Managing Director
3416,2867,1024,Hideaki Nohara,Asahi India Glass Ltd,Dy.Managing Director &CTO(Auto
3417,2868,2966,Hideaki Ueshima,Motherson Sumi Systems Ltd,Nominee
3418,2869,5503,Hideo Ichida,Infrastructure Leasing & Financial Services Ltd,Alternate Director
3419,2870,4123,Himanshu Jain,Ind-Swift Ltd,Director
3420,2871,7927,Himanshu Jain,Ind-Swift Laboratories Ltd,Joint Managing Director
3421,2872,23040,Himanshu Kapania,Idea Cellular Ltd,Managing Director
3422,2873,186,Himanshu Parikh,Gammon India Ltd,Executive Director
3423,2874,42,Hira Lal Bhatia,Atlas Cycles (Haryana) Ltd,Director
3424,2875,4361,Hira Sadhak,Arch Pharmalabs Ltd,Additional Director
3425,2876,1909,Hiranya Ashar,Rolta India Ltd,Director (Finance) & CFO
3426,2877,3480,Hiren K Patel,Nirma Ltd,Managing Director
3427,2878,12178,Hiroshi Odawara,TRL Krosaki Refractories Ltd,Director
3428,2879,2966,Hiroto Murai,Motherson Sumi Systems Ltd,Director
3429,2880,1054,Hiroyuki Miyazaki,Sona Koyo Steering Systems Ltd,Nominee
3430,2881,1908,Hiroyuki Wakebayashi,Pricol Ltd,Additional Director
3431,2882,24345,Hisashi Miyazaki,L & T-Komatsu Ltd,Director
3432,2883,3306,Hital R Meswani,Reliance Petroleum Ltd (Merged),Director
3433,2884,476,Hital R Meswani,Reliance Industries Ltd,Executive Director
3434,2885,2061,Hiten V Parekh,Nilkamal Ltd,Executive Director
3435,2886,2386,Hitesh Adeshara,Ausom Enterprise Ltd,Director
3436,2887,4857,Hitesh Rathi,KSL and Industries Ltd,Company Secretary
3437,2888,72,Hitesh T Mehta,Sintex Industries Ltd,Deputy Company Secretary
3438,2889,3313,Hiteshi Chander Malik,Shiv-Vani Oil & Gas Exploration Services Ltd,Director
3439,2890,16486,Ho Ll Lee,Hyundai Motor India Ltd,Additional Director
3440,2891,20600,Hocine Sidi Said,Glenmark Pharmaceuticals Ltd,Additional Director
3441,2892,15293,Homai A Daruwalla,Jaiprakash Associates Ltd,Independent Director
3442,2893,12001,Homai Daruwalla,NTPC Ltd,Director(PartTime NonOfficial)
3443,2894,465,Homi R Khusrokhan,Rallis India Ltd,Director
3444,2895,6272,Hong Chen,General Motors India Ltd,Director
3445,2896,5498,Horst Binnig,Shriram Pistons & Rings Ltd,Director
3446,2897,20650,Hoshang N Sinor,3i Infotech Ltd,Chairman
3447,2898,13105,Hoshi D Bhagwagar,Oracle Financial Services Software Ltd,Company Secretary
3448,2899,361,Hrishikesh A Mafatlal,Mafatlal Industries Ltd,Chairman
3449,2900,23875,Hrishikesh Parandekar,Shree Renuka Sugars Ltd,Director
3450,2901,15962,Hubertus M Muehlhaeuser,Tractors & Farm Equipment Ltd,Director
3451,2902,301,Hugo Geoffrey Powell,ITC Ltd,Director
3452,2903,15542,Hui Weng Cheong,Bharti Airtel Ltd,Director
3453,2904,16966,Humayun Dhanrajgir,Emcure Pharmaceuticals Ltd,Chairman
3454,2905,28018,Hussain Al Qemzi,Emaar MGF Land Ltd,Director
3455,2906,8021,Huzaifa H Khorakiwala,Wockhardt Ltd,Executive Director
3456,2907,13518,Hyun Bong Lee,Samsung India Electronics Ltd,Additional Director
3457,2908,866,Hyung Tae Chang,Styrolution ABS (India) Ltd,Chairman
3458,2909,12083,I A Modi,Cadila Pharmaceuticals Ltd,Chairman & Managing Director
3459,2910,12001,I C P Keshari,NTPC Ltd,Nominee (Govt)
3460,2911,12001,I C P Keshari,NTPC Ltd,Nominee (Govt)
3461,2912,474,I D Agarwal,Raymond Ltd,Director
3462,2913,42,I D Chugh,Atlas Cycles (Haryana) Ltd,Whole-time Director
3463,2914,20076,I J Kapoor,PTC India Ltd,Director
3464,2915,12001,I J Kapoor,NTPC Ltd,Director (Commercial)
3465,2916,12001,I J Kapoor,NTPC Ltd,Director (Commercial)
3466,2917,12360,I K Gupta,Indofil Industries Ltd,Company Secretary
3467,2918,5586,I M Kadri,Jet Airways (India) Ltd,Director
3468,2919,5762,I M Pandey,Cochin Shipyard Ltd,Director
3469,2920,16083,I P Barooah,North Eastern Electric Power Corporation Ltd,Director (Personnel)
3470,2921,18277,I P Gautam,Gujarat State Electricity Corporation Ltd,Director
3471,2922,2290,I P S Anand,Bharat Petroleum Corporation Ltd,Director(PartTime NonOfficial)
3472,2923,2306,I P Singh,Bharat Heavy Electricals Ltd,Company Secretary
3473,2924,24267,I Pandu Ranga Rao,Progressive Constructions Ltd,Director
3474,2925,5200,I S Gumber,Lakshmi Energy & Foods Ltd,Executive Director
3475,2926,5455,I S Jha,Power Grid Corporation of India Ltd,Director (Projects)
3476,2927,25157,I S Nain,Dakshin Haryana Bijli Vitran Nigam Ltd,Director (Operation)
3477,2928,2846,I Sengupta,Tide Water Oil Co (I) Ltd,Director
3478,2929,6083,I Unnikrishnan,Manappuram Finance Ltd,Executive Director
3479,2930,16500,I V Lakshmi,Gayatri Projects Ltd,Company Secretary
3480,2931,13397,I V N Prasada Rao,Singareni Collieries Company Ltd,Director (Electrical & Mech.)
3481,2932,2298,I V Sarma,Bharat Electronics Ltd,Director (Research & Devplmnt)
3482,2933,23956,I Venkat,Ushodaya Enterprises Ltd,Director
3483,2934,5704,I Vijayakumar,Madras Fertilizers Ltd,Chairman & Managing Director
3484,2935,2943,Ibrahim A Kader,Liberty Oil Mills Ltd,Whole-time Director
3485,2936,245,Ila Patnaik,Hindustan Construction Company Ltd,Additional Director
3486,2937,237,Ilam C Kamboj,Hero MotoCorp Ltd,Company Secretary
3487,2938,34,Ina Dani,Asian Paints Ltd,Director
3488,2939,12133,Inaitula Baig,Hindustan Shipyard Ltd,Company Secretary
3489,2940,27313,Inder Bir Singh Passi,Parabolic Drugs Ltd,Chairman
3490,2941,592,Inder Mohan Verma,Jubilant Life Sciences Ltd,Director
3491,2942,26603,Inder T Jaisinghani,Polycab Wires Private Ltd,Director
3492,2943,5498,Inderdeep Singh,Shriram Pistons & Rings Ltd,Director
3493,2944,13675,Inderjit Walia,Beetel Teletech Ltd,Director
3494,2945,20287,Inderpal S Kalra,Jindal Steel & Power Ltd,Nominee (IDBI)
3495,2946,694,Inderpal Singh Kalra,Oudh Sugar Mills Ltd,Nominee (IDBI)
3496,2947,72,Indira J Parikh,Sintex Industries Ltd,Director
3497,2948,4962,Indraj Mal Bhutoria,Genus Power Infrastructures Ltd,Director
3498,2949,3663,Indranil Dasgupta,Kalpena Industries Ltd,Additional Director
3499,2950,965,Indresh Batra,Jindal Saw Ltd,Managing Director
3500,2951,2163,Indresh Narain,Cholamandalam Investment & Finance Company Ltd,Director
3501,2952,12324,Indu Jain,"Bennett, Coleman & Company Ltd",Chairman
3502,2953,12002,Indu Shahani,Indian Oil Corporation Ltd,Director
3503,2954,118,Indu Shahani,Colgate-Palmolive (India) Ltd,Additional Director
3504,2955,51,Indu Shahani,Bajaj Electricals Ltd,Director
3505,2956,13501,Indu Shahani,Eureka Forbes Ltd,Additional Director
3506,2957,13463,Indulekha N Godse,Lubrizol India Private Ltd,Company Secretary
3507,2958,7620,ING N K Gupta,REI Agro Ltd,Director
3508,2959,28257,Ing Narpinder Kumar Gupta,REI Six Ten Retail Ltd,Director
3509,2960,13212,Irfan Razack,Prestige Estates Projects Ltd,Chairman & Managing Director
3510,2961,5400,Ishaat Hussain,Tata Consultancy Services Ltd,Director
3511,2962,12323,Ishaat Hussain,Tata Sons Ltd,Director (Finance)
3512,2963,14773,Ishaat Hussain,Tata Teleservices Ltd,Director
3513,2964,12178,Ishaat Hussain,TRL Krosaki Refractories Ltd,Director
3514,2965,85,Ishaat Hussain,Bombay Dyeing & Manufacturing Company Ltd,Director
3515,2966,1016,Ishaat Hussain,Titan Industries Ltd,Nominee
3516,2967,566,Ishaat Hussain,Tata Steel Ltd,Director
3517,2968,597,Ishaat Hussain,Voltas Ltd,Chairman
3518,2969,29113,Ishaat Hussain,Tata Capital Ltd,Director
3519,2970,2299,Isher Judge Ahluwalia,Steel Authority of India Ltd,Director(PartTime NonOfficial)
3520,2971,2603,Ishtiaq Ali,Nakoda Ltd,Additional Director
3521,2972,4962,Ishwar Chand Agarwal,Genus Power Infrastructures Ltd,Executive Chairman
3522,2973,4325,Israel Makov,Sun Pharmaceuticals Industries Ltd,Chairman & Additional Director
3523,2974,209,J A J Pereira,Grindwell Norton Ltd,Alternate Director
3524,2975,19197,J A Pereira,Saint Gobain Glass India Ltd,Director
3525,2976,2603,J A Prem,Nakoda Ltd,Additional Director
3526,2977,16500,J Brij Mohan Reddy,Gayatri Projects Ltd,Executive Vice Chairman
3527,2978,85,J C Bham,Bombay Dyeing & Manufacturing Company Ltd,Company Secretary
3528,2979,13501,J C Chopra,Eureka Forbes Ltd,Director
3529,2980,23638,J C Kinra,Haryana Power Generation Corporation Ltd,Director
3530,2981,700,J C Laddha,RSWM Ltd,Director
3531,2982,1369,J C Mansukhani,Man Industries (India) Ltd,Vice Chairman & M.D.
3532,2983,14556,J C Rana,Amrit Banaspati Company Ltd,Director
3533,2984,27443,J C Sharma,Sobha Developers Ltd,Vice Chairman & M.D.
3534,2985,102,J D Curravala,Graphite India Ltd,Director
3535,2986,20793,J Desazars,Lafarge India Ltd,Director
3536,2987,20392,J F Ribeiro,VVF Ltd,Director
3537,2988,12966,J H Mehta,Gokaldas Exports Ltd,Additional Director
3538,2989,12966,J H Mehta,Gokaldas Exports Ltd,Director
3539,2990,243,J Hiremath,Novartis India Ltd,Director
3540,2991,23875,J J Bhagat,Shree Renuka Sugars Ltd,Director
3541,2992,230,J J Irani,Housing Development Finance Corporation Ltd,Additional Director
3542,2993,6437,J J Parakh,Afcons Infrastructure Ltd,Director
3543,2994,13807,J K Baweja,National Handloom Development Corporation Ltd,Managing Director
3544,2995,1846,J K Bhagat,Ginni Filaments Ltd,Director
3545,2996,26813,J K Chatterjee,Rohit Ferro Tech Ltd,Director
3546,2997,41,J K Delvadavala,Atlas Copco (India) Ltd,Alternate Director
3547,2998,13369,J K Jain,Mahanagar Gas Ltd,Director
3548,2999,1149,J K Jain,Jamna Auto Industries Ltd,Independent Director
3549,3000,2990,J K Jain,Banswara Syntex Ltd,Company Secretary
3550,3001,7927,J K Kakkar,Ind-Swift Laboratories Ltd,Director
3551,3002,14556,J K Khaitan,Amrit Banaspati Company Ltd,Vice Chairman & M.D.
3552,3003,5807,J K Misra,Indian Metals & Ferro Alloys Ltd,Director (Corporate Affairs)
3553,3004,551,J K Setna,Tata Infotech Ltd(merged),Director
3554,3005,118,J K Setna,Colgate-Palmolive (India) Ltd,Director
3555,3006,12584,J K Sharma,NHPC Ltd,Director (Projects)
3556,3007,5035,J K Tandon,Southern Iron & Steel Company Ltd(merged),Chairman
3557,3008,3750,J K Valecha,Valecha Engineering Ltd,Managing Director
3558,3009,602,J L Deshmukh,Walchandnagar Industries Ltd,Managing Director & CEO
3559,3010,4926,J L Khushu,Era Infra Engineering Ltd,Whole-time Director
3560,3011,2324,J L Raina,Bongaigaon Refinery & Petrochemicals Ltd(merged),Director
3561,3012,24038,J L Sheth,Delhi Assam Roadways Corporation Ltd,Director
3562,3013,13463,J L Zutshi,Lubrizol India Private Ltd,Director
3563,3014,16486,J Lakshmi,Hyundai Motor India Ltd,Company Secretary
3564,3015,41,J Livijn,Atlas Copco (India) Ltd,Director
3565,3016,609,J M A Akers,Wheels India Ltd,Director
3566,3017,337,J M Barrowman,Cummins India Ltd,Alternate Director
3567,3018,256,J M Gandhi,Sanofi India Ltd,Director
3568,3019,256,J M Georges,Sanofi India Ltd,Director
3569,3020,27273,J M Kothary,K E C International Ltd,Director
3570,3021,3124,J M Sanghvi,Ratnamani Metals & Tubes Ltd,Whole-time Director
3571,3022,2303,J Mahilselvan,Neyveli Lignite Corporation Ltd,Director (Power)
3572,3023,23590,J N Atal,Frigorifco Allana Ltd,Director
3573,3024,694,J N Godbole,Oudh Sugar Mills Ltd,Director
3574,3025,2415,J N Godbole,Gillanders Arbuthnot & Company Ltd,Director
3575,3026,621,J N Godbole,Zuari Industries Ltd,Director
3576,3027,16166,J N Godrej,Godrej Agrovet Ltd,Director
3577,3028,16166,J N Godrej,Godrej Agrovet Ltd,Director
3578,3029,28074,J N Godrej,Bajaj Auto Ltd,Director
3579,3030,1742,J N Godrej,Godrej Industries Ltd,Director
3580,3031,22372,J N Sekhsaria,Radha Madhav Investments LTd,Director
3581,3032,23638,J N Sinha,Haryana Power Generation Corporation Ltd,Director
3582,3033,445,J P Agarwal,Surya Roshni Ltd,Chairman & Managing Director
3583,3034,2294,J P Batra,BEML Ltd,Director
3584,3035,14027,J P Chhaochharia,National Engineering Industries Ltd,Director
3585,3036,23108,J P Chhaochharia,GMMCO Ltd,Director
3586,3037,209,J P Floris,Grindwell Norton Ltd,Director
3587,3038,1846,J P Kundra,Ginni Filaments Ltd,Director
3588,3039,20207,J P Kundra,South Asian Petrochem Ltd(merged),Director
3589,3040,3041,J P Lath,Monnet Ispat & Energy Ltd,Director
3590,3041,815,J P Moreau,Dr Reddys Laboratories Ltd,Director
3591,3042,24345,J P Nayak,L & T-Komatsu Ltd,Director
3592,3043,16083,J P Rajkhowa,North Eastern Electric Power Corporation Ltd,Director
3593,3044,12397,J P Rajkhowa,Numaligarh Refinery Ltd,Director
3594,3045,1022,J P Shah,Garden Silk Mills Ltd,Director
3595,3046,2626,J P Sharma,Dhampur Sugar Mills Ltd,Whole-time Director
3596,3047,5482,J P Shukla,Hindustan Steel Works Construction Ltd,Director
3597,3048,2294,J P Singh,BEML Ltd,Director
3598,3049,20051,J P Somaiya,Gharda Chemicals Ltd,Director
3599,3050,23244,J P Sureka,ISMT Ltd,Director
3600,3051,23244,J P Sureka,ISMT Ltd,Director
3601,3052,17576,J R Naik,Excel Crop Care Ltd,Director
3602,3053,336,J R Sapre,Kirloskar Brothers Ltd,Whole-time Director
3603,3054,16138,J Radha Krishnan,Tamilnadu State Marketing Corporation Ltd,Director
3604,3055,13397,J Rama Krishna,Singareni Collieries Company Ltd,Company Secretary
3605,3056,12586,J Ramachandran,Redington India Ltd,Chairman
3606,3057,12360,J Ramachandran,Indofil Industries Ltd,Director
3607,3058,27206,J Ramachandran,Reliance Communications Ltd,Director
3608,3059,1119,J Ramu Rao,Pennar Industries Ltd,Director
3609,3060,21241,J Ravichandran,National Stock Exchange Of India Ltd,Director & Company Secretary
3610,3061,3367,J Ravindran,SpiceJet Ltd,Independent Director
3611,3062,15228,J Ravindran,Sun TV Network Ltd,Director
3612,3063,15228,J Ravindran,Sun TV Network Ltd,Director
3613,3064,12068,J S Amitabh,Power Finance Corporation Ltd,Company Secretary
3614,3065,856,J S Baijal,Denso India Ltd,Director
3615,3066,131,J S Baijal,Dalmia Bharat Sugar & Industries Ltd,Director
3616,3067,1742,J S Bilimoria,Godrej Industries Ltd,Director
3617,3068,557,J S Bilimoria,Tata Global Beverages Ltd,Director
3618,3069,348,J S Bindra,Larsen & Toubro Ltd,Director
3619,3070,2629,J S Charlu,Lloyds Metals & Energy Ltd,Director
3620,3071,1909,J S Dhillon,Rolta India Ltd,Director
3621,3072,28334,J S R Chandra Mouli,KNR Constructions Ltd,Director
3622,3073,28334,J S R Chandra Mouli,KNR Constructions Ltd,Director
3623,3074,25350,J S Walia,National Agricultural Co-Op Mktg Fedn of India,Director
3624,3075,23884,J Sankaran,Simpson & Company Ltd,Director
3625,3076,28074,J Sridhar,Bajaj Auto Ltd,Company Secretary
3626,3077,13397,J V Dattatreyulu,Singareni Collieries Company Ltd,Director (Operation)
3627,3078,28334,J V Panindra Reddy,KNR Constructions Ltd,Executive Director
3628,3079,28334,J V Panindra Reddy,KNR Constructions Ltd,Executive Director
3629,3080,1019,J V Ramamurthy,HCL Infosystems Ltd,Whole Time Director & COO
3630,3081,2598,J V Ranga Raju,NCC Ltd,Whole-time Director
3631,3082,3049,J V Rao,Shri Lakshmi Cotsyn Ltd,Director
3632,3083,60,Jack G N Clemons,Bata India Ltd,Director
3633,3084,566,Jacobus Schraven,Tata Steel Ltd,Director
3634,3085,24145,Jacques Roux,S E S Technologies Ltd,Additional Director
3635,3086,3187,Jagadeesh S Shetty,S.Kumars Nationwide Ltd,Director (Finance)
3636,3087,186,Jagadish C Sheth,Gammon India Ltd,Director
3637,3088,15192,Jagar Narain Lal Srivastava,Northern Coalfields Ltd,Director
3638,3089,12212,Jagat Pal,Rashtriya Ispat Nigam Ltd,Director
3639,3090,15853,Jagatheesa Pandian,Gujarat State Petroleum Corporation Ltd,Director
3640,3091,12177,Jagdeep K Ghai,Nuclear Power Corporation,Director (Finance)
3641,3092,23401,Jagdeep S Chhokar,Indian Railway Catering & Tourism Corporation Ltd,Director
3642,3093,10,Jagdish Ajitkumar Mehta,Torrent Power AEC Ltd(merged),Company Secretary
3643,3094,282,Jagdish Capoor,Indian Hotels Co Ltd,Director
3644,3095,6083,Jagdish Capoor,Manappuram Finance Ltd,Chairman (Non-Executive)
3645,3096,27387,Jagdish Chandra Sharma,L T Foods Ltd,Director
3646,3097,5600,Jagdish Gopal,Surana Corporation Ltd,Additional Director
3647,3098,252,Jagdish Khattar,Hindalco Industries Ltd,Independent Director
3648,3099,2299,Jagdish Khattar,Steel Authority of India Ltd,Director(PartTime NonOfficial)
3649,3100,25091,Jagdish Kini,Bharti Mobile Ltd,Director
3650,3101,614,Jagdish N Sheth,Wipro Ltd,Director
3651,3102,502,Jagdish Pal Singh,Sesa Goa Ltd,Director
3652,3103,16012,Jagdish Patra,Tulip Telecom Ltd,Company Secretary
3653,3104,26839,Jagdish Prakash,Educomp Solutions Ltd,Whole-time Director
3654,3105,5611,Jagdish Saxena,Elder Pharmaceuticals Ltd,Chairman & Managing Director
3655,3106,28300,Jagdishkumar M Gupta,J Kumar Infraprojects Ltd,Chairman & Managing Director
3656,3107,1105,Jagmohan N Kejriwal,India Glycols Ltd,Director
3657,3108,27738,Jai Bhagwan Goel,Omaxe Ltd,Whole-time Director
3658,3109,13807,Jai Gopal Mahajan,National Handloom Development Corporation Ltd,Company Secretary
3659,3110,131,Jai Hari Dalmia,Dalmia Bharat Sugar & Industries Ltd,Vice Chairman
3660,3111,20289,Jai Kishan Bagri,Simplex Projects Ltd,Whole-time Director
3661,3112,25130,Jai Prakash Singhal,Sharp Menthol India Ltd,Director
3662,3113,12804,Jai S Pathak,Patni Computer Systems Ltd,Chairman
3663,3114,231,Jaiboy John Phillips,GlaxoSmithkline Consumer Healthcare Ltd,Whole-time Director
3664,3115,244,Jaiboy Phillips,Cadbury India Ltd,Director
3665,3116,27698,Jaickismin Wadhumal Balani,Religare Finvest Ltd,Director
3666,3117,2461,Jaidev R Shroff,United Phosphorus Ltd,Director
3667,3118,14235,Jaimin Bhatt,Kotak Mahindra Prime Ltd,Director
3668,3119,15293,Jaiprakash Gaur,Jaiprakash Associates Ltd,Founder Chairman
3669,3120,849,Jaiprakash Gaur,Jaiprakash Industries Ltd - (Merged),Chairman
3670,3121,23961,Jaiprakash V Dempo,Sesa Resources Ltd,Director
3671,3122,68,Jairaj C Thacker,Bharat Bijlee Ltd,Director
3672,3123,155,Jairam Varadaraj,Elgi Equipments Ltd,Managing Director
3673,3124,4767,Jairam Varadaraj,Thermax Ltd,Director
3674,3125,68,Jaisingh R Danani,Bharat Bijlee Ltd,Director
3675,3126,152,Jal Patel,Elecon Engineering Company Ltd,Independent Director
3676,3127,2255,Jal Patel,Gujarat Gas Company Ltd,Director
3677,3128,866,Jal R Patel,Styrolution ABS (India) Ltd,Director
3678,3129,24610,James Alistair Kirkland Cochrane,Jindal Stainless Ltd,Director
3679,3130,4727,James Brooks,Prism Cement Ltd,Director
3680,3131,337,James Kelly,Cummins India Ltd,Director
3681,3132,154,Jamshed J Irani,Electrosteel Castings Ltd,Director
3682,3133,200,Jamshed J Irani,Kansai Nerolac Paints Ltd,Chairman
3683,3134,21960,Jamshyd Godrej,Godrej Consumer Products Ltd,Director
3684,3135,13332,Jamshyd N Godrej,Godrej & Boyce Manufacturing Company Ltd,Chairman & Managing Director
3685,3136,432,Jan Hendrik Gerardus Louwman,Philips Electronics India Ltd,Executive Director
3686,3137,5200,Janak Raj Singh Uppal,Lakshmi Energy & Foods Ltd,Joint Managing Director
3687,3138,25777,Janardan Agarwal,Bombay Rayon Fashions Ltd,Chairman
3688,3139,12607,Janat Shah,Container Corporation Of India Ltd,Director (Part-Time)
3689,3140,12005,Janki Ballabh,Small Industries Development Bank of India Ltd,Director
3690,3141,29113,Janki Ballabh,Tata Capital Ltd,Director
3691,3142,303,Jashvantrai B Joshi,J B Chemicals & Pharamaceuticals Ltd,Director
3692,3143,1318,Jatender Kumar Mehta,Omax Autos Ltd,Managing Director
3693,3144,976,Jatin R Mehta,Su-Raj Diamonds & Jewellery Ltd,Chairman
3694,3145,1060,Jatinder Mehra,Essar Steel Ltd,Director
3695,3146,27698,Jatinder Singh Grewal,Religare Finvest Ltd,Whole-time Director
3696,3147,26813,Jatindra Nath Rudra,Rohit Ferro Tech Ltd,Director
3697,3148,26813,Jatindra Nath Rudra,Rohit Ferro Tech Ltd,Director
3698,3149,27538,Jatindra Nath Rudra,Ankit Metal & Power Ltd,Director
3699,3150,5586,Javed Akhtar,Jet Airways (India) Ltd,Director
3700,3151,12058,Javed Yusuf Zai,Food Corporation of India,Company Secretary
3701,3152,20631,Jawahar Lal Goel,Dish TV India Ltd,Managing Director
3702,3153,942,Jawahar Lal Oswal,Nahar Spinning Mills Ltd,Chairman
3703,3154,1186,Jawahar Lal Oswal,Nahar Industrial Enterprises Ltd,Chairman
3704,3155,4244,Jay H Shah,Adani Enterprises Ltd,Director
3705,3156,12498,Jaya Nagpal,Pepsi Foods Pvt Ltd,Company Secretary
3706,3157,2110,Jayadev Galla,Amara Raja Batteries Ltd,Managing Director
3707,3158,23244,Jayan Nair,ISMT Ltd,Company Secretary
3708,3159,4764,Jayant Acharya,JSW Steel Ltd,Director (Commercial & Marketi
3709,3160,16706,Jayant Goradia,Savex Computers Ltd,Director
3710,3161,13869,Jayant Kawale,THDC India Ltd,Nominee (Govt)
3711,3162,16083,Jayant Kawale,North Eastern Electric Power Corporation Ltd,Director (Part-Time)
3712,3163,26626,Jayant Kawale,Narmada Hydroelectric Development Corporation Ltd,Nominee
3713,3164,217,Jayant Narayan Godbole,Gujarat Alkalies & Chemicals Ltd,Director
3714,3165,17136,Jayant Narayan Godbole,J K Cements Ltd,Director
3715,3166,29936,Jayant Rastogi,Neoteric Infomatique Ltd,Director
3716,3167,1220,Jayant Sood,Indo Rama Synthetics (India) Ltd,Company Secretary
3717,3168,26813,Jayanta Chatterjee,Rohit Ferro Tech Ltd,Director
3718,3169,24907,Jayanth Varma,Infosys BPO Ltd,Director
3719,3170,22219,Jayanti M Patel,Meghmani Organics Ltd,Executive Chairman
3720,3171,25008,Jayaram Rangan,Consolidated Construction Consortium Ltd,Independent Director
3721,3172,22219,Jayaraman Vishwanathan,Meghmani Organics Ltd,Director
3722,3173,2915,Jayasinh V Mariwala,Jayant Agro Organics Ltd,Director
3723,3174,19611,Jayasree K,V-Guard Industries Ltd,Company Secretary
3724,3175,29776,Jayateerth S Korlahalli,VRL Logistics Ltd,Director
3725,3176,2300,Jayendra Shah,State Trading Corporation of India Ltd,Director(PartTime NonOfficial)
3726,3177,3782,Jayesh C Patel,Vimal Oil and Foods Ltd,Chairman & Managing Director
3727,3178,4144,Jayesh D Thakkar,N K Industries Ltd,Director
3728,3179,20661,Jayesh Gandhi,ICICI Home Finance Company Ltd,Director
3729,3180,29,Jayesh K Shah,Arvind Ltd,Whole Time Director & CFO
3730,3181,1577,Jayesh Mehta,DSP Merrill Lynch Ltd,Director
3731,3182,34,Jayesh Merchant,Asian Paints Ltd,CFO & Company Secretary
3732,3183,12193,Jayshree A Vyas,National Housing Bank,Director
3733,3184,1105,Jayshree Bhartia,India Glycols Ltd,Director
3734,3185,31,Jean Brunol,Ashok Leyland Ltd,Director
3735,3186,19197,Jean Pierre Floris,Saint Gobain Glass India Ltd,Director
3736,3187,2806,Jeffrey S Lehman,Infosys Ltd,Director
3737,3188,85,Jeh N Wadia,Bombay Dyeing & Manufacturing Company Ltd,Managing Director
3738,3189,93,Jeh N Wadia,Britannia Industries Ltd,Director
3739,3190,1577,Jennifer Taylor,DSP Merrill Lynch Ltd,Director
3740,3191,4177,Jerry Hsu,Blue Dart Express Ltd,Director
3741,3192,1178,Jesudas Andrade,Hewlett-Packard Globalsoft Pvt Ltd,Additional Director
3742,3193,12121,Jethabhai G Ahir,Gujarat Co-operative Milk Marketing Federation Ltd,Director
3743,3194,12121,Jethabhai P Patel,Gujarat Co-operative Milk Marketing Federation Ltd,Director
3744,3195,29519,Jhuma Guha,Reliance Money Express Ltd,Additional Director
3745,3196,4169,Jigar Shah,Electrotherm (India) Ltd,Company Secretary
3746,3197,29936,JigarKumar Gandhi,Neoteric Infomatique Ltd,Company Secretary
3747,3198,597,Jimmy Bilimoria,Voltas Ltd,Director
3748,3199,22735,Jimmy Mahtani,Bhushan Power & Steel Ltd,Director
3749,3200,13518,Jin Tong Jung,Samsung India Electronics Ltd,Additional Director
3750,3201,18488,Jindal Mehta,Torrent Power Ltd,Additional Director
3751,3202,1754,Jiten Doshi,Piramal Glass Ltd,Director
3752,3203,1056,Jitender Balakrishnan,Polyplex Corporation Ltd,Director
3753,3204,1140,Jitender Balakrishnan,Sarda Energy & Minerals Ltd,Director
3754,3205,1060,Jitender Balakrishnan,Essar Steel Ltd,Director
3755,3206,1076,Jitender Balakrishnan,Usha Martin Ltd,Director
3756,3207,1105,Jitender Balakrishnan,India Glycols Ltd,Director
3757,3208,3187,Jitender Balakrishnan,S.Kumars Nationwide Ltd,Director
3758,3209,24610,Jitender Pal Verma,Jindal Stainless Ltd,Executive Director (Finance)
3759,3210,24610,Jitendra Kumar,Jindal Stainless Ltd,Company Secretary
3760,3211,28472,Jitendra Kumar,ACME Tele Power Ltd,Company Secretary
3761,3212,24610,Jitendra Kumar,Jindal Stainless Ltd,Company Secretary
3762,3213,4962,Jitendra Kumar Agarwal,Genus Power Infrastructures Ltd,Executive Director (Marketing)
3763,3214,1250,Jitendra M Desai,Venkys (India) Ltd,Director
3764,3215,24711,Jitendra Singh,Kudos Chemie Ltd,Managing Director
3765,3216,16966,Jitendra Vir Singh,Emcure Pharmaceuticals Ltd,Director
3766,3217,17157,Jitesh Avlani,Cargill India Private Ltd,Additional Director
3767,3218,14266,JN Gupta,Jaiprakash Power Ventures Ltd,Director
3768,3219,514,Joe Kaeser,Siemens Ltd,Director
3769,3220,5626,Joel Allan Peres,Coca-Cola India Pvt Ltd,Director
