uuid,did,cid,name,cname,designation
642,93,5420,A K Hazarika,ONGC Videsh Ltd,Chairman
643,94,85,A K Hirjee,Bombay Dyeing & Manufacturing Company Ltd,Director
644,95,41,A K Hirjee,Atlas Copco (India) Ltd,Chairman
645,96,93,A K Hirjee,Britannia Industries Ltd,Director
646,97,308,A K Jain,Usha International Ltd,Director
647,98,665,A K Jain,IBP Co. Ltd(merged),Director
648,99,348,A K Jain,Larsen & Toubro Ltd,Nominee (UTI)
649,100,3617,A K Jain,Ipca Laboratories Ltd,Joint Managing Director
650,101,23244,A K Jain,ISMT Ltd,Director
651,102,23244,A K Jain,ISMT Ltd,Director
652,103,3392,A K Jain,Dabur India Ltd,Company Secretary
653,104,4490,A K Jain,Bhilai Engineering Corporation Ltd,Joint Managing Director
654,105,51,A K Jalan,Bajaj Electricals Ltd,Director
655,106,17560,A K Jhamb,National Projects Construction Corporation Ltd,Director (Engineering)
656,107,6423,A K Joshi,Emami Ltd,Company Secretary
657,108,24065,A K Joti,Gujarat State Petronet Ltd,Chairman
658,109,213,A K Joti,Gujarat Narmada Valley Fertilisers Company Ltd,Chairman
659,110,217,A K Joti,Gujarat Alkalies & Chemicals Ltd,Chairman
660,111,226,A K Joti,Gujarat State Fertilizers & Chemicals Ltd,Chairman
661,112,14705,A K Jyotishi,South Eastern Coalfields Ltd,Director (Part-Time)
662,113,12350,A K Khandelwal,GAIL (India) Ltd,Part Time Non Official Ind.Dir
663,114,16966,A K Khanna,Emcure Pharmaceuticals Ltd,Director (Operation)
664,115,2415,A K Kothari,Gillanders Arbuthnot & Company Ltd,Chairman
665,116,1220,A K Ladha,Indo Rama Synthetics (India) Ltd,Director
666,117,12584,A K Mago,NHPC Ltd,Director(PartTime NonOfficial)
667,118,1057,A K Mahendru,Uttam Galva Steels Ltd,Director (Marketing & Sales)
668,119,1879,A K Mathur,Hind Lever Chemicals Ltd - (Merged),Chairman
669,120,22387,A K Mathur,Ruchi Health Foods Ltd,Director
